true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30
Basophils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,1032,1,0,0,0,0,0,0,0,0,0,0,0,0
CD16+_NK_cells,0,0,0,0,0,0,0,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
CD16-_NK_cells,0,0,23,3,0,11,0,3841,0,6,0,0,0,0,0,0,0,1,0,0,11,0,0,1,0,8,0,0,0,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,0,0,0,0,0,113,1,0,0,180,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,0,0,1,0,2830,45,0,0,0,0,33,381,0,0,0,0,0,0,0,5,0,0,0,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,0,0,0,913,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CD4_T_cells,13450,0,27,8806,0,41,0,0,0,3437,0,0,0,0,0,383,0,0,0,8,0,0,0,0,156,0,58,0,0,0
CD8_T_cells,122,0,10847,43,0,7791,0,0,0,127,0,0,0,0,0,200,0,0,0,14,821,0,0,0,97,0,46,0,0,0
Mature_B_cells,0,9,0,0,8280,0,7911,0,101,3,1,8,0,0,0,0,0,2,3,0,0,13,0,11,0,74,0,0,87,17
Monocytes,0,12108,0,0,0,0,1,3,3,0,1,2392,3823,2206,0,0,0,0,382,0,0,0,1,1,0,82,0,94,0,2
Plasma_B_cells,0,0,0,0,1,0,1,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,303,0,1,0,0,0,0
Pre_B_cells,0,0,0,0,236,0,68,0,5089,0,2,0,0,0,0,0,0,37,0,0,0,550,0,144,0,9,0,0,0,0
Pro_B_cells,0,0,0,0,0,0,0,0,12,0,15,0,0,0,0,0,0,483,0,0,0,2,0,0,0,1,0,0,0,0
pDCs,0,0,0,0,0,0,0,0,0,0,2,6,0,0,1226,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
