true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),3,13,2,2,33,77,12,8,1,5,3,3,2,0,2,33,6,4,0,0,20,1,0,0,0,4,0,0,0,0,22,5,1,0,0,0,1,1,0,2
Basophils,0,0,0,0,0,0,0,0,0,13,0,2,0,0,273,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CD4 T cells,0,4,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
CD8 T cells,744,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
CLP,0,0,0,0,1,0,0,0,0,0,2,5,39,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0
CMP,0,0,0,0,0,0,0,0,0,0,0,0,8,24,0,0,0,159,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Classical Monocytes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,192,210,12989,89,92,0,0,0,3,9,0
Eosinophils,0,0,0,0,0,0,0,2,1,0,0,0,0,0,49,0,1,2,3998,1,1,0,30,33,170,1,7,0,0,624,222,27,0,0,0,0,0,0,2,2
GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,189,0,0,0,0,371,96,0,0,0,0,0,0,0,15,0,0,0,0,0,26,0,0
HSC,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,0,0,21,1216,1489,118,0,0,0,0,0,0,0,427,223,0,0,0,8,0,0,0,0,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0
IgDpos IgMpos B cells,0,1,0,0,0,4,67,8565,1,0,0,0,0,0,0,2,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
IgM- IgD- B-cells,0,3,0,1,466,52,0,27,0,96,0,0,0,0,0,455,0,0,0,1,0,0,0,0,0,5,0,6,4,0,0,3,0,0,0,0,4,0,0,0
Intermediate Monocytes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,0,3,0,0,0,0,2,0,128,11780,64,5,4,0,0,0,2,51,0
MEP,0,0,290,44,10,2,0,0,0,0,0,0,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,0,0,138,19,1,0,0,0,34,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,168,12,0,0,0,11,2,3,0,0,0,0,0,0,0
NK cells,0,5,0,0,2,0,0,0,0,151,0,10,0,0,7,0,0,3,0,2,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,3
NKT cells,12,886,0,1,0,0,0,0,52,6,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1013
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gd T cells,0,25,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1
mDCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0
pDCs,0,0,0,0,0,0,0,1,2,0,217,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,37,1160,0,1,0,0,0,1156,397,0,0,0,0
