true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28
Basophils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,1014,0,0,0,0,0,0,1,0,0,0,0
CD16+_NK_cells,0,0,0,0,0,0,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
CD16-_NK_cells,0,22,0,10,0,11,3830,0,0,0,0,0,0,0,10,0,0,0,0,0,12,0,1,1,8,0,0,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,0,0,0,0,0,0,6,32,2,0,254,10,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,0,0,1,0,0,2980,179,0,0,38,30,0,0,0,0,0,0,62,5,0,0,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,0,0,0,0,911,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
CD4_T_cells,0,24,8491,9280,0,39,0,0,0,5375,0,0,0,0,2543,0,0,397,0,0,0,6,0,0,55,156,0,0
CD8_T_cells,0,10816,95,52,0,8039,0,0,0,19,0,0,0,0,106,0,0,4,0,0,813,7,0,0,46,111,0,0
Mature_B_cells,9,0,0,0,8900,0,0,7264,104,0,0,2,11,0,0,0,0,0,3,44,0,0,10,1,74,0,98,0
Monocytes,11108,0,0,0,1,0,3,0,3,0,4533,1,2642,2212,0,0,0,0,420,0,0,0,1,0,83,0,0,92
Plasma_B_cells,0,0,0,0,0,0,0,1,22,0,0,1,1,0,0,0,0,0,0,1,0,0,303,0,1,0,0,0
Pre_B_cells,0,0,0,0,69,0,0,75,5090,0,0,33,0,0,0,0,0,0,0,714,0,0,145,0,9,0,0,0
Pro_B_cells,0,0,0,0,0,0,0,0,27,0,0,481,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
pDCs,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1226,2,0,0,0,0,0,0,0,2,0,0,0
