true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,30,34,35,36,37,38,39,40
Basophils,0,0,0,0,0,0,0,0,0,0,160,1026,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
CD16+_NK_cells,0,0,1,569,1536,0,0,0,138,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CD16-_NK_cells,0,0,3,2683,0,7,2,0,1121,0,0,0,0,0,0,6,3,1,0,2,9,38,0,0,17,13,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,0,0,0,0,12,128,11,3,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,0,0,0,1337,0,16,837,1081,2,2,0,10,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,0,0,17,0,0,880,7,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0
CD4_T_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,24113,0,0,138,1087,0,0,0,73,0,0,0,0,911,0,0,0,1,0
CD8_T_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,292,0,0,82,110,0,0,0,18761,799,0,0,0,31,1,0,0,0,0
Mature_B_cells,51,16263,0,0,0,0,1,77,0,2,0,0,0,0,2,61,0,4,0,0,1,39,4,8,0,0,4,0,0,0,0,0,0,0,3
Monocytes,0,1,0,1,1,0,1,3,0,0,0,0,0,0,832,61,0,1,297,0,0,3,53,3245,0,0,12781,63,634,0,0,278,2511,0,333
Plasma_B_cells,6,0,0,0,0,0,305,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pre_B_cells,1197,87,0,0,0,0,124,4686,0,34,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro_B_cells,6,0,0,0,0,0,0,20,0,476,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pDCs,0,0,0,0,0,0,0,0,0,0,1229,3,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
