true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
B-cell Frac A-C (pro-B cells),18,5,21,4,147,0,4,0,4,13,10,5,0,2,0,2,1,3,2,4,6,13,0,0,2
Basophils,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,272,0,0,0,0,14,0,1,0,0
CD4 T cells,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,399,0,0,4,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,607,0,0,0,0,0,0,0
CLP,0,0,0,0,1,0,10,0,0,0,0,40,0,0,0,0,0,0,0,0,0,4,4,0,0
CMP,0,0,0,0,0,0,0,0,184,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0
Classical Monocytes,190,9624,0,3294,0,0,1,296,22,0,0,0,0,0,175,0,0,0,1,4,0,0,0,0,0
Eosinophils,98,12,0,6,0,4164,0,793,34,0,0,0,0,3,6,52,1,0,0,1,0,0,0,0,3
GMP,0,0,0,1,0,0,0,16,678,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
HSC,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,356,1,1733,0,0,0,0,0,1402,0,0,0,0,0,0,0,0,1,1,11,0,0,3
IgDpos IgMpos B cells,0,0,8722,0,7,0,0,0,0,1,27,0,0,0,0,0,1,0,0,0,0,0,0,0,10
IgM- IgD- B-cells,0,3,41,0,963,0,7,0,0,4,0,0,1,0,0,0,0,0,0,5,98,0,1,0,0
Intermediate Monocytes,11649,36,0,24,0,2,5,291,5,0,0,0,0,3,5,0,0,0,0,0,0,0,0,25,0
MEP,0,0,0,0,1,0,0,0,0,0,0,1,70,0,0,0,0,0,348,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,24,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,10,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,184,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,0,1,6,0,13,0,0,0,3,0,0,2,2,160,0,2,0,0
NKT cells,0,0,0,0,0,0,0,0,0,879,0,1,1,0,0,1,67,10,1,0,1,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,1,0,1015,0,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0
gd T cells,1,0,0,0,0,0,0,0,0,23,0,0,3,1,1,0,6,0,0,0,0,0,0,0,0
mDCs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,111,0,0,0,0,4,0,0,0,0,0
pDCs,1,0,1,0,0,0,2969,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
