true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,22,23,24,25
1,0,3,0,6,0,0,0,0,2,874,0,0,0,1,1,0,8,17,0,0,0,0,0,0
10,1,0,0,0,0,0,14,0,16,0,0,567,0,1,0,0,2,2,3,0,0,2,0,0
11,40,0,13306,17,6,551,0,0,0,1,0,0,15,1,0,0,1,0,0,0,0,0,2,24
12,19,0,0,14,7782,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,177,0,0,156,0,0,0,0,0,0,3339,0,0,0,0,0,0,0,0,0,0,6,0,6
14,5,0,0,1,0,0,0,0,0,6,0,0,0,178,0,0,0,4,0,0,0,0,0,0
15,40,0,0,34,0,0,0,0,0,2,6,0,0,62,0,0,2,6,0,0,0,0,0,0
16,1560,0,3,946,0,0,19,0,28,2,434,0,1,0,0,0,6,17,0,0,0,0,5,4
17,0,0,42,0,0,6896,0,0,0,0,0,0,2,0,0,1,43,0,0,3,0,0,0,0
18,5,0,0,0,1218,0,0,8253,68,0,0,0,13,0,1,0,5,0,0,0,1,0,0,0
19,58,1,0,49,0,0,83,0,3456,6,8,44,9,4,0,0,142,4,0,0,0,0,0,0
2,0,6607,0,24,0,0,0,0,1,118,0,0,0,0,5,0,15,8,1,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,1,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,44,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,2,0,0,0,0,0,2,0,8,0,226,0,0,1,0,0,0,0,0,0,0
24,2,0,0,6,0,0,2,0,69,3,1,897,0,2,0,0,7,5,0,0,0,0,0,0
3,0,422,0,16,0,0,0,0,7,792,0,0,0,1,3,0,16,21,0,0,0,0,0,0
4,15,0,0,6,0,0,0,0,2,4,0,1,0,225,0,0,0,0,0,0,0,0,0,0
5,11717,0,0,65,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,11,0,5
6,1,0,0,0,0,0,0,0,45,8,0,1,0,18,0,0,0,0,0,0,0,0,0,0
7,50,0,0,111,0,0,0,0,1,1,3,0,0,85,0,0,5,5,0,0,0,0,0,0
8,151,0,2,161,0,0,110,0,48,0,17,0,0,0,0,0,9,1,0,0,0,2,0,1
9,34,0,0,70,1,0,7649,0,10,0,2,9,0,0,0,0,8,2,3,0,2,6,0,0
