true_population,1,2,3,4,5,6,7,8,9,10,13,14,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,38
Basophils,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,998,0,0,0,16,0,0,0,0,0,0,0,0,0,0
CD16+_NK_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,381,209,0,1657,0,0,0,0,0,0
CD16-_NK_cells,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,8,30,2412,1415,19,0,1,0,12,0,0,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,176,0,0,108,0,13,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,7,0,0,0,0,1492,0,1362,0,0,0,0,4,12,409,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,0,74,0,59,0,0,0,0,2,0,771,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
CD4_T_cells,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,133,24233,1115,0,0,0,57,0,0,93,0,734,0,0
CD8_T_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,306,103,0,0,0,18762,0,0,13,813,27,0,0
Mature_B_cells,0,0,12,3,0,0,79,0,0,55,1,1,0,0,4,5,4,0,0,0,0,1,37,0,0,0,0,0,0,0,0,15448,870
Monocytes,2524,680,15335,1423,340,0,2,315,0,0,0,1,0,80,341,50,1,0,0,0,0,0,3,1,1,0,1,0,0,0,0,1,0
Plasma_B_cells,0,0,0,0,0,0,15,0,1,8,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pre_B_cells,0,0,0,0,0,0,4660,0,1,1224,27,132,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,89,0
Pro_B_cells,0,0,0,0,0,0,17,0,12,6,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pDCs,0,0,0,1,0,1234,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
