,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,21,22,23
1,7,875,0,2,0,1,0,0,0,4,0,0,7,0,0,0,16,0,0,0,0,0
10,4,1,276,14,3,1,0,0,0,1,0,0,2,0,0,0,1,0,0,303,0,2
11,1,3,0,0,0,4,3,2,0,39,0,0,0,16,0,1,0,13895,0,0,0,0
12,0,0,0,0,0,4,7772,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0
13,1,0,0,0,0,54,1,0,3623,0,0,0,0,0,0,5,0,0,0,0,0,0
14,181,3,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
15,57,3,0,0,0,28,0,0,38,20,0,0,0,0,0,1,5,0,0,0,0,0
16,0,8,0,8,5,756,2,0,2031,174,0,0,6,3,0,0,16,5,0,0,11,0
17,0,1,0,0,0,0,0,0,0,0,3,0,40,0,0,0,0,6943,0,0,0,0
18,0,0,0,18,0,0,9524,0,0,0,0,4,0,0,13,0,0,0,5,0,0,0
19,9,4,3,2922,64,36,0,0,59,7,0,0,138,8,0,0,5,0,0,33,576,0
2,0,6732,0,3,0,30,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,1
20,1,0,464,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
21,5,1,0,0,0,0,0,0,0,0,0,0,235,0,0,0,52,0,0,0,0,0
22,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
23,188,0,39,0,0,2,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0
24,5,4,884,72,2,2,0,0,1,8,0,0,5,0,0,0,6,0,0,5,0,0
3,2,1219,0,10,0,15,0,0,0,1,0,0,5,0,2,0,24,0,0,0,0,0
4,212,8,0,0,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,39,1,0,11976,5,0,0,0,0,0,9,0,0,0,0,0,0
6,22,3,0,45,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
7,86,0,0,0,0,96,0,0,37,33,0,0,3,0,0,0,5,0,0,0,1,0
8,0,2,4,37,78,147,0,0,181,9,0,0,8,0,0,0,1,2,0,0,33,0
9,0,1,0,17,7511,68,2,0,51,7,0,0,7,0,0,6,2,0,2,110,11,1
