true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),0,0,4,3,13,2,0,1,0,5,4,0,3,1,0,0,2,32,2,2,66,20,0,50,7,14,2,3,8,5,0,0,2,4,0,0,0,4,1,6
Basophils,0,0,2,2,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,1,0,0,0,0,0,1,270,2,0,0,0,0,0,1,0,0,0,0,0,0
CD4 T cells,0,0,0,0,2,0,229,169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
CD8 T cells,0,0,0,0,77,621,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLP,0,0,0,7,0,0,0,0,0,0,37,0,0,0,0,0,0,1,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMP,0,2,146,0,0,0,0,0,0,0,18,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,223,13,0,0,0,0,0,0,0,12884,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,264,0,0,0,22,12,0,0,1,0,186,0,0,0,0
Eosinophils,655,51,4,0,0,0,0,1,0,26,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,209,49,0,0,0,1,4,2,1,7,2,4155,4,0,0
GMP,3,368,285,0,0,0,0,0,0,29,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0
HSC,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,12,0,0,1178,16,0,798,1127,0,0,0,208,0,0,0,0,0,1,0,0,1,0,164
IgDpos IgMpos B cells,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,6,90,0,0,0,8596,0,0,0,0,0,0,0,0,11,0,58
IgM- IgD- B-cells,0,0,0,0,3,0,0,0,0,3,0,0,99,0,0,3,0,408,0,5,6,4,0,558,0,0,0,0,29,0,0,0,0,5,0,0,0,0,0,0
Intermediate Monocytes,124,2,2,0,0,0,0,0,0,56,1,0,0,0,0,0,0,0,1,1,0,0,71,0,0,11143,0,0,0,634,3,1,0,0,0,4,1,1,0,0
MEP,0,0,0,0,0,0,0,0,0,0,1,75,0,0,0,0,260,82,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPP,0,2,19,167,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,172,10,3,1,0,0,0
NK cells,0,0,1,10,5,0,0,0,0,0,0,2,129,0,0,0,0,1,0,3,0,1,0,0,0,0,4,30,0,0,1,1,0,1,0,0,0,0,0,0
NKT cells,0,0,0,1,880,2,8,40,0,0,0,1,6,19,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Non-Classical Monocytes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1012,0,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,112,5
gd T cells,0,0,0,0,23,0,0,1,0,0,0,0,0,3,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
mDCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,5,25,0,0,83,0,0,0,0,0
pDCs,0,0,1,0,0,0,1,1,1189,0,1,0,0,0,413,1041,0,0,306,12,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,3
