dataset,method,repeat_type,repeat_id,ari,macro_f1,unit,source_id
Samusik_01,FlowSOM_R_2.18.0_full_event,controlled_seed,13,0.8826323999878493,0.6974130518275413,algorithm_run,flowsom_r_full_run_points
Samusik_01,FlowSOM_R_2.18.0_full_event,controlled_seed,14,0.8962633329313466,0.6916924590752992,algorithm_run,flowsom_r_full_run_points
Samusik_01,FlowSOM_R_2.18.0_full_event,controlled_seed,15,0.8813724992157748,0.6656036682470382,algorithm_run,flowsom_r_full_run_points
Samusik_01,FlowSOM_R_2.18.0_full_event,controlled_seed,16,0.8790649869508974,0.6896886300402675,algorithm_run,flowsom_r_full_run_points
Samusik_01,FlowSOM_R_2.18.0_full_event,controlled_seed,17,0.8972230549500078,0.672933282283091,algorithm_run,flowsom_r_full_run_points
Samusik_01,FlowSOM_R_2.18.0_full_event,controlled_seed,18,0.8855476702027539,0.6722678003939083,algorithm_run,flowsom_r_full_run_points
Samusik_01,FlowSOM_R_2.18.0_full_event,controlled_seed,19,0.8621260833864004,0.6877894091737172,algorithm_run,flowsom_r_full_run_points
Samusik_01,FlowSOM_R_2.18.0_full_event,controlled_seed,20,0.8958732880064727,0.6701358755750473,algorithm_run,flowsom_r_full_run_points
Samusik_01,FlowSOM_R_2.18.0_full_event,controlled_seed,21,0.8219638409208601,0.691797048259167,algorithm_run,flowsom_r_full_run_points
Samusik_01,FlowSOM_R_2.18.0_full_event,controlled_seed,22,0.878447511313389,0.6740856895212843,algorithm_run,flowsom_r_full_run_points
Samusik_01,FlowSOM_R_2.18.0_full_event,controlled_seed,23,0.8620552910957036,0.6762263962065681,algorithm_run,flowsom_r_full_run_points
Samusik_01,FlowSOM_R_2.18.0_full_event,controlled_seed,24,0.8874073066477252,0.6725904895690559,algorithm_run,flowsom_r_full_run_points
Samusik_01,FlowSOM_R_2.18.0_full_event,controlled_seed,25,0.8793701246699199,0.6746758378825355,algorithm_run,flowsom_r_full_run_points
Samusik_01,FlowSOM_R_2.18.0_full_event,controlled_seed,26,0.8883058420498631,0.6760562067470426,algorithm_run,flowsom_r_full_run_points
Samusik_01,FlowSOM_R_2.18.0_full_event,controlled_seed,27,0.9028122443311312,0.6873655136069309,algorithm_run,flowsom_r_full_run_points
Samusik_01,FlowSOM_R_2.18.0_full_event,controlled_seed,28,0.8864683256264309,0.6829829277772,algorithm_run,flowsom_r_full_run_points
Samusik_01,FlowSOM_R_2.18.0_full_event,controlled_seed,29,0.9044115330692648,0.7046888367649041,algorithm_run,flowsom_r_full_run_points
