true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30
Basophils,0,0,0,0,0,0,0,0,0,1,0,0,0,187,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD16+_NK_cells,0,0,0,0,0,0,0,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
CD16-_NK_cells,2,0,23,6,0,11,0,3830,0,1,0,0,12,0,0,0,0,0,11,0,0,1,0,0,8,0,0,0,0,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,0,0,0,26,84,0,1,0,183,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,0,0,108,3123,1,28,0,0,29,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,0,0,915,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CD4_T_cells,14134,0,20,10367,0,41,0,0,0,0,0,0,1294,0,0,0,0,292,0,7,0,0,0,155,0,56,0,0,0,0
CD8_T_cells,130,0,11086,62,0,7689,0,0,0,0,0,0,116,0,0,0,0,14,845,11,0,0,0,108,0,46,0,0,0,1
Mature_B_cells,0,2,0,0,8524,0,7667,0,0,3,101,17,0,0,0,0,3,0,0,0,13,9,3,0,74,0,0,87,17,0
Monocytes,0,12506,0,0,1,0,0,3,4644,1,3,2876,0,0,0,437,449,0,0,0,0,1,0,0,82,0,95,0,1,0
Plasma_B_cells,0,0,0,0,0,0,2,0,0,1,22,0,0,0,0,0,0,0,0,0,0,304,0,0,1,0,0,0,0,0
Pre_B_cells,0,0,0,0,232,0,100,0,0,36,5108,0,0,0,0,0,0,0,0,0,505,145,0,0,9,0,0,0,0,0
Pro_B_cells,0,0,0,0,1,0,0,0,1,496,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
pDCs,0,0,0,0,0,0,0,0,0,0,0,0,0,1228,2,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0
