true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,38
Basophils,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,984,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CD16+_NK_cells,0,0,0,0,0,0,0,0,0,0,0,0,1671,204,0,0,0,0,0,1,0,370,0,0,0,0,0,0,0,0,0,0,0,2,0
CD16-_NK_cells,0,0,0,0,0,0,0,0,3,0,0,0,0,1307,0,0,0,0,0,33,0,2504,1,1,10,5,2,0,33,0,0,0,0,6,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,215,38,2,0,34,2,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,1349,757,0,118,10,999,0,0,0,0,0,5,7,19,0,0,27,2,0,0,0,0,0,0,0,0,0,2,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,52,833,0,0,1,1,0,0,0,0,2,0,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CD4_T_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1003,24448,138,0,35,0,0,618,0,46,77
CD8_T_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,354,84,0,19489,0,1,36,0,38,16
Mature_B_cells,0,12,0,0,0,0,0,0,0,3,2,2,0,0,3,0,2,0,79,49,0,0,4,1,0,0,0,53,0,15542,0,0,712,56,0
Monocytes,3785,14125,51,648,357,0,0,0,0,1552,60,0,1,1,331,67,57,0,3,4,0,0,1,1,0,0,0,0,0,1,0,0,0,54,0
Plasma_B_cells,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,306,0,0,0,6,0,0,0,0,0,0,0
Pre_B_cells,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4731,3,0,0,0,130,0,0,0,1170,0,94,0,0,0,4,0
Pro_B_cells,0,0,0,0,0,0,27,0,0,1,0,332,0,0,0,0,0,0,146,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0
pDCs,0,0,0,0,0,1227,0,0,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
