true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,30
Basophils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,1018,0,1,0,0,0,0,0,0,0,0,0,0
CD16+_NK_cells,0,0,0,0,0,0,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
CD16-_NK_cells,2,0,21,6,0,11,3833,0,0,0,0,0,0,10,0,0,0,0,1,0,12,1,0,8,0,0,0,0,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,0,0,0,0,0,5,0,114,0,175,0,10,0,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,0,0,1,0,2902,0,267,0,0,0,36,0,84,0,0,0,0,5,0,0,0,0,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,0,0,0,912,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CD4_T_cells,13902,0,29,10286,0,39,0,0,0,0,0,0,0,1505,0,389,0,0,0,7,0,0,154,0,55,0,0,0,0
CD8_T_cells,113,0,11170,56,0,7450,0,0,0,0,0,0,0,91,0,243,0,0,0,12,821,0,105,0,46,0,0,0,1
Mature_B_cells,0,10,0,0,8907,0,1,7218,117,0,2,0,6,0,0,0,0,3,68,0,0,10,0,74,0,0,86,18,0
Monocytes,0,12685,0,0,1,0,3,0,3,4451,1,2629,689,0,0,0,0,449,13,0,0,1,0,82,0,91,0,1,0
Plasma_B_cells,0,0,0,0,0,0,0,2,23,0,1,0,0,0,0,0,0,0,0,0,0,303,0,1,0,0,0,0,0
Pre_B_cells,0,0,0,0,208,0,0,80,5654,0,39,0,0,0,0,0,0,0,0,0,0,145,0,9,0,0,0,0,0
Pro_B_cells,0,0,0,0,0,0,0,0,14,0,494,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
pDCs,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1227,0,2,0,0,0,0,0,0,2,0,0,0,0,0
