true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
B-cell Frac A-C (pro-B cells),18,5,22,4,136,0,0,4,21,9,13,2,2,0,1,1,3,4,6,1,0,12,0,2
Basophils,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,272,0,0,14,0,0,0,1,0
CD4 T cells,1,0,0,0,0,0,0,0,0,0,2,0,0,0,399,0,0,4,0,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,608,0,0,0,0,0,0,0
CLP,0,0,0,0,1,0,0,9,0,12,0,0,0,0,0,0,0,0,0,29,0,4,4,0
CMP,0,0,0,0,0,0,7,0,0,184,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Classical Monocytes,183,9740,0,2939,0,0,307,1,0,0,0,1,0,179,0,0,0,4,0,0,253,0,0,0
Eosinophils,162,15,0,5,0,4165,731,0,0,31,0,0,3,5,1,49,0,3,0,0,0,0,0,3
GMP,0,0,0,0,0,0,429,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSC,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,401,1,877,0,0,0,2220,0,0,0,0,0,0,0,0,1,1,0,0,4,0,3
IgDpos IgMpos B cells,0,0,8734,0,0,0,0,0,23,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9
IgM- IgD- B-cells,0,3,39,0,965,0,0,7,0,0,4,1,0,0,0,0,0,5,98,0,0,0,1,0
Intermediate Monocytes,11734,47,0,19,0,2,200,5,0,1,0,0,3,5,0,0,0,0,0,0,29,0,0,0
MEP,0,0,0,0,6,0,0,0,0,80,0,334,0,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,4,0,0,192,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Macrophages,10,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,185,0,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,3,0,2,160,2,0,0,2,0
NKT cells,0,0,0,0,0,0,0,0,0,2,879,1,0,0,67,1,10,0,1,0,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,1,0,0,1015,0,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0
gd T cells,1,0,0,0,0,0,0,0,0,0,23,3,1,1,6,0,0,0,0,0,0,0,0,0
mDCs,0,0,0,0,1,0,0,0,0,0,0,0,0,109,0,0,0,6,0,0,0,0,0,0
pDCs,0,0,1,0,0,0,1,2970,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
