dataset,som_seed,regime,selector_seed,requested_k,selected_k,occupied_node_metaclusters,occupied_event_metaclusters,r_runtime_seconds,label_information_used_for_selection,evaluation_mode,n_total_events,n_evaluable_events,n_true_populations,n_predicted_clusters_all_events,n_predicted_clusters_evaluable,clusters_absent_from_evaluation,overclustering_ratio_evaluable,ari,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,hungarian_accuracy,matched_clusters,unmatched_evaluable_clusters,unmatched_evaluable_events,mean_population_effective_predicted_clusters,median_population_effective_predicted_clusters,mean_population_split_clusters_ge_1pct,mean_evaluable_cluster_purity,weighted_evaluable_cluster_purity,mean_cluster_effective_true_populations,mean_cluster_merge_populations_ge_1pct
Levine_32dim,0,official_auto_max40,12345,40,6,6,6,4.65,False,multiclass_rectangular_hungarian,265627,104184,14,6,5,1,0.35714285714285715,0.6795100768420723,0.2567069747177843,0.34989792931180086,0.2891605202507067,0.5493459408752522,0.7040620440758658,0.6040713477933082,0.7040620440758658,5,0,0,1.0171428327052892,1.004816730459535,1.2142857142857142,0.7187795292097962,0.7040620440758658,1.9558303169127371,3.0
Levine_32dim,0,official_fixed_ktrue,12345,14,14,14,14,0.9,False,multiclass_rectangular_hungarian,265627,104184,14,14,12,2,0.8571428571428571,0.6852883869972574,0.45258586317527927,0.5471857336340354,0.4720614093782027,0.654664434484666,0.7313886969208324,0.651804882203093,0.7313886969208324,12,0,0,1.152736525401881,1.06405500278523,1.6428571428571428,0.716852629456678,0.746957306304231,1.9712167429396832,3.1666666666666665
Levine_32dim,0,official_fixed_k40,12345,40,40,40,40,4.16,False,multiclass_rectangular_hungarian,265627,104184,14,40,37,3,2.642857142857143,0.7814610675490865,0.8455226547462066,0.7646501295246101,0.7776391852647675,0.9704897505832459,0.7910811640942946,0.8613485107088108,0.7910811640942947,14,23,18013,1.6651773972210793,1.4626037310108515,3.357142857142857,0.8499671774860236,0.9625566305766721,1.4924134741637418,2.4054054054054053
Levine_32dim,1,official_auto_max40,12345,40,6,6,6,4.63,False,multiclass_rectangular_hungarian,265627,104184,14,6,5,1,0.35714285714285715,0.6639745658857414,0.25675578130974047,0.3499620076326394,0.28734977866003714,0.5512345042802584,0.6968152499424095,0.5998642679447045,0.6968152499424096,5,0,0,1.0186342245079565,1.0012534446491081,1.2857142857142858,0.7189161876672733,0.6968152499424096,2.0377598351193056,3.2
Levine_32dim,1,official_fixed_ktrue,12345,14,14,14,14,0.900000000000002,False,multiclass_rectangular_hungarian,265627,104184,14,14,12,2,0.8571428571428571,0.6612747377963847,0.45946518157547894,0.5792833873362196,0.4747322419492791,0.6607044260803203,0.7098594793826306,0.6397886908250746,0.7098594793826307,12,0,0,1.2147656016971344,1.0595698909112987,1.9285714285714286,0.7384600064508292,0.7458054979651386,1.8591972599484963,2.6666666666666665
Levine_32dim,1,official_fixed_k40,12345,40,40,40,40,4.19,False,multiclass_rectangular_hungarian,265627,104184,14,40,37,3,2.642857142857143,0.58857519640177,0.8140010463931988,0.6702996952385079,0.6916637589612206,0.9700614751942173,0.596972663748752,0.7182229227668205,0.5969726637487522,14,23,38396,2.0640234185652386,2.000778045282005,3.7857142857142856,0.8427514543603171,0.9471128004300085,1.4497197904143442,2.27027027027027
Levine_32dim,2,official_auto_max40,12345,40,6,6,6,4.68,False,multiclass_rectangular_hungarian,265627,104184,14,6,5,1,0.35714285714285715,0.6818162615060785,0.25709423883977056,0.3514086759403625,0.2900535598260375,0.5493063662054777,0.7052522460262612,0.6047314182057044,0.7052522460262612,5,0,0,1.0306251391459407,1.0057149707425665,1.3571428571428572,0.7198638687513575,0.7052522460262612,1.9496182985650634,3.2
Levine_32dim,2,official_fixed_ktrue,12345,14,14,14,14,0.939999999999998,False,multiclass_rectangular_hungarian,265627,104184,14,14,11,3,0.7857142857142857,0.689540325598769,0.4253413006248873,0.4936648251079541,0.4213705171271917,0.7046464077474667,0.734153036934654,0.6519128012256576,0.7341530369346541,11,0,0,1.1101812561290412,1.0284367790299793,1.6428571428571428,0.7090354306882253,0.7476675881133379,1.8797704486396147,2.727272727272727
Levine_32dim,2,official_fixed_k40,12345,40,40,40,40,4.3,False,multiclass_rectangular_hungarian,265627,104184,14,40,36,4,2.5714285714285716,0.7717124356192298,0.7906198233865742,0.6830079545094954,0.6910914037235097,0.9703292333439413,0.729363433924595,0.8118438109163646,0.7293634339245949,14,22,24244,1.8280473105128034,1.747570811417733,3.5714285714285716,0.8459734295152805,0.9598690777854565,1.4493804125576004,2.3055555555555554
Levine_32dim,3,official_auto_max40,12345,40,6,6,6,4.82,False,multiclass_rectangular_hungarian,265627,104184,14,6,5,1,0.35714285714285715,0.6775841530888788,0.25710591545600386,0.3520063610612331,0.28963918722812376,0.5505759271760349,0.70330377025263,0.6038861548975142,0.7033037702526299,5,0,0,1.0111456991753573,1.0000379290725796,1.2142857142857142,0.7198965632768107,0.7033037702526299,1.9782845646668121,3.4
