true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
B-cell Frac A-C (pro-B cells),20,2,21,4,142,1,4,4,0,15,13,2,5,2,0,1,1,3,4,6,13,0,0,3
Basophils,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,272,0,0,0,14,0,0,1,0
CD4 T cells,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,399,0,4,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,598,0,0,0,0,0,0
CLP,0,0,0,0,1,0,9,0,0,0,0,0,41,0,0,0,0,0,0,0,4,0,4,0
CMP,0,0,0,0,0,0,0,191,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,244,10309,0,2593,0,0,1,19,243,0,0,1,0,0,181,0,0,0,5,0,0,11,0,0
Eosinophils,198,13,0,7,0,4165,0,55,669,0,0,0,0,3,7,51,1,0,1,0,0,0,0,3
GMP,0,0,0,8,0,0,0,685,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
HSC,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,417,1,1400,0,0,0,0,1675,0,0,0,0,0,0,0,0,1,1,10,0,0,3
IgDpos IgMpos B cells,0,0,8733,0,2,0,0,0,0,22,1,0,0,0,0,0,1,0,0,0,0,0,0,9
IgM- IgD- B-cells,0,3,42,0,962,0,5,0,0,0,4,1,2,0,0,0,0,0,5,98,0,0,1,0
Intermediate Monocytes,11776,40,0,19,0,2,5,5,165,0,0,0,0,4,5,0,0,0,0,0,0,24,0,0
MEP,0,0,0,0,6,0,0,1,0,0,0,412,1,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,34,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0
Macrophages,10,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,181,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,4,0,0,6,0,12,0,0,3,0,0,2,160,0,0,2,0
NKT cells,0,0,0,0,0,0,0,0,0,0,879,2,1,0,0,1,67,10,0,1,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,1,1015,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0
gd T cells,1,0,0,0,0,0,0,0,0,0,26,0,0,1,1,0,6,0,0,0,0,0,0,0
mDCs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,109,0,0,0,6,0,0,0,0,0
pDCs,1,0,1,0,0,0,2969,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
