true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),0,4,4,12,2,1,3,0,0,0,1,1,1,0,0,6,3,2,1,0,0,103,3,42,9,0,3,0,20,2,4,20,8,2,0,3,0,0,0,6
Basophils,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,10,0,0,272,0,0,0,0,0,0,0,0,0,0
CD4 T cells,0,0,0,3,0,396,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0
CD8 T cells,0,0,0,0,512,0,0,0,0,0,0,200,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CLP,0,0,3,0,0,0,6,0,0,0,27,0,0,0,0,0,14,0,4,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
CMP,0,153,0,0,0,0,0,0,4,24,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,225,0,0,0,0,0,0,0,11,0,0,0,0,0,0,12973,0,0,0,0,1,0,0,0,0,8,0,12,243,0,1,0,0,0,0,0,0,133,0,0
Eosinophils,562,41,0,0,0,1,0,0,8,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,2,0,1,303,49,1,0,0,3,8,4,4155,3,0,0
GMP,13,327,0,0,0,0,0,0,333,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
HSC,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1072,0,727,1395,0,0,0,0,0,0,12,90,0,1,4,0,0,0,205
IgDpos IgMpos B cells,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,177,0,0,0,0,0,0,0,8442,0,0,14,0,0,0,126
IgM- IgD- B-cells,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,3,1,0,3,0,1,595,0,378,0,0,99,0,0,0,5,1,30,0,0,0,0,0,0,0
Intermediate Monocytes,107,2,0,0,0,0,1,0,2,0,0,0,0,0,0,58,0,0,0,3,0,0,0,0,0,80,0,5,11779,0,0,0,0,0,0,0,2,6,0,0
MEP,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,1,276,0,0,55,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPP,0,31,125,0,0,0,0,0,3,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,170,0,0,0,12,0,1,3,0,0
NK cells,0,1,9,6,0,0,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0,1,41,0,0,0,117,1,0,4,1,1,0,0,0,0,0,1,0,0
NKT cells,0,0,1,838,1,46,0,0,0,1,0,48,21,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Non-Classical Monocytes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,115,1
gd T cells,0,0,0,23,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
mDCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,22,0,0,0,1,0,0,91,0,0,0,0,0
pDCs,0,1,0,0,0,1,632,1133,0,0,0,0,1,384,652,0,1,0,0,163,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1
