fit_policy,ari,macro_precision,macro_recall,macro_f1,iterations
all_cells_fit,0.7583548304020344,0.43253787192217613,0.49165160148562276,0.4332131508308111,122
labeled_only_fit,0.5658238999062347,0.4648537778228547,0.4425784816557272,0.40849682893842293,46
