true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
B-cell Frac A-C (pro-B cells),20,2,20,4,140,0,4,0,4,17,13,2,5,2,0,2,1,3,4,6,14,0,0,3
Basophils,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,272,0,0,0,14,0,1,0,0
CD4 T cells,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,399,0,4,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,616,0,0,0,0,0,0
CLP,0,0,0,0,1,0,10,0,0,0,0,0,40,0,0,0,0,0,0,0,4,4,0,0
CMP,0,0,0,0,0,0,0,0,189,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,226,10138,0,2774,0,0,1,268,12,0,0,1,0,0,182,0,0,0,4,0,0,0,1,0
Eosinophils,144,15,0,7,0,4162,0,736,43,0,0,0,0,3,6,51,1,0,1,0,0,0,1,3
GMP,0,0,0,11,0,0,0,3,681,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
HSC,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,390,1,1269,0,0,0,0,1832,0,0,0,0,0,0,0,0,1,1,11,0,0,3
IgDpos IgMpos B cells,0,0,8713,0,3,0,0,0,0,41,1,0,0,0,0,0,1,0,0,0,0,0,0,9
IgM- IgD- B-cells,0,3,44,0,960,0,7,0,0,0,4,1,0,0,0,0,0,0,5,98,0,1,0,0
Intermediate Monocytes,11727,52,0,20,0,2,5,211,4,0,0,0,1,3,5,0,0,0,0,0,0,0,15,0
MEP,0,0,0,0,7,0,0,0,78,0,0,334,1,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,20,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0
Macrophages,10,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,183,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,0,3,0,6,0,13,0,0,3,0,0,2,160,0,2,0,0
NKT cells,0,0,0,0,0,0,0,0,1,0,878,1,1,0,0,1,67,11,0,1,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,1,1015,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0
gd T cells,1,0,0,0,0,0,0,0,0,0,26,0,0,1,1,0,6,0,0,0,0,0,0,0
mDCs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,110,0,0,0,5,0,0,0,0,0
pDCs,0,0,1,0,0,0,2970,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
