true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
B-cell Frac A-C (pro-B cells),19,4,22,4,142,0,0,4,8,15,13,2,2,0,2,1,3,1,4,6,12,0,0,2
Basophils,0,0,0,0,0,0,0,0,5,0,0,0,0,0,271,0,0,0,1,14,0,1,0,0
CD4 T cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,400,0,0,4,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,604,0,0,0,0,0,0,0
CLP,0,0,0,0,1,0,0,9,12,0,0,0,0,0,0,0,0,29,0,0,4,4,0,0
CMP,0,0,0,0,0,0,7,0,186,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Classical Monocytes,235,10320,0,2599,0,0,274,1,0,0,0,2,0,172,0,0,0,0,4,0,0,0,0,0
Eosinophils,264,17,0,7,0,4162,623,0,33,0,0,0,3,5,51,1,0,0,3,0,0,0,1,3
GMP,0,0,0,0,0,0,420,0,275,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
HSC,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,369,1,1387,0,0,0,0,1742,0,0,0,0,0,0,0,0,1,1,4,0,0,3
IgDpos IgMpos B cells,0,0,8722,0,2,0,0,0,0,33,1,0,0,0,0,1,0,0,0,0,0,0,0,9
IgM- IgD- B-cells,0,3,38,0,966,0,0,6,0,0,4,1,0,0,0,0,0,1,5,98,0,1,0,0
Intermediate Monocytes,11805,49,0,20,0,2,135,5,1,0,0,0,3,5,0,0,0,0,0,0,0,0,20,0
MEP,0,0,0,0,7,0,0,0,78,0,0,334,0,0,0,0,0,1,0,0,0,0,0,0
MPP,0,0,0,0,0,0,4,0,192,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Macrophages,10,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,185,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,0,14,0,6,0,0,0,3,0,0,2,2,160,0,2,0,0
NKT cells,0,0,0,0,0,0,0,0,2,0,879,1,0,0,1,67,10,0,0,1,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,1,0,0,0,1015,0,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0
gd T cells,1,0,0,0,0,0,0,0,0,0,23,3,1,1,0,6,0,0,0,0,0,0,0,0
mDCs,0,0,0,0,1,0,0,0,0,0,0,0,0,109,0,0,0,0,6,0,0,0,0,0
pDCs,0,0,1,0,0,0,0,2969,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
