true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
B-cell Frac A-C (pro-B cells),20,3,22,4,142,0,0,4,9,15,13,0,2,0,2,3,2,1,4,6,12,0,0,2
Basophils,0,0,0,0,0,0,0,0,4,0,0,0,0,0,272,0,1,0,0,14,0,1,0,0
CD4 T cells,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,399,4,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,0,190,0,0,0,0,606,0,0,0,0,0,0,0,0
CLP,0,0,0,0,1,0,0,10,40,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0
CMP,0,0,0,0,0,0,6,0,176,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
Classical Monocytes,221,10354,0,2568,0,0,272,1,0,0,0,2,0,185,0,0,0,0,4,0,0,0,0,0
Eosinophils,208,13,0,6,0,4168,684,0,29,0,0,0,3,6,50,0,0,1,2,0,0,0,0,3
GMP,0,0,0,0,0,0,411,0,284,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
HSC,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,414,1,1175,0,0,0,0,1908,0,0,0,0,0,0,0,0,1,1,5,0,0,3
IgDpos IgMpos B cells,0,0,8735,0,1,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,10
IgM- IgD- B-cells,0,3,39,0,965,0,0,6,1,0,4,1,0,0,0,0,0,0,5,98,0,1,0,0
Intermediate Monocytes,11798,45,0,20,0,1,148,5,2,0,0,0,5,5,0,0,0,0,0,0,0,0,16,0
MEP,0,0,0,0,6,0,0,0,1,0,0,71,0,0,0,0,342,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,4,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,10,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,185,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,0,14,0,6,0,0,0,3,0,2,0,2,160,0,2,0,0
NKT cells,0,0,0,0,0,0,0,0,1,0,896,1,0,0,1,10,1,50,0,1,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,1,0,0,0,1015,0,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0
gd T cells,1,0,0,0,0,0,0,0,0,0,28,3,1,1,0,0,0,1,0,0,0,0,0,0
mDCs,0,0,0,0,1,0,0,0,0,0,0,0,0,111,0,0,0,0,4,0,0,0,0,0
pDCs,1,0,1,0,0,0,0,2969,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
