true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),22,1,0,4,1,0,1,2,2,1,3,12,1,4,0,0,3,5,1,2,1,146,0,0,0,1,4,0,9,1,3,2,10,0,0,1,19,0,0,4
Basophils,0,0,0,0,0,1,0,0,0,271,12,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0
CD4 T cells,1,0,0,4,395,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,77,522,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,10,0,0,0,0,0,29,3,2,0,0,3,0,4,0,0,0
CMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,50,8,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,162,0,0,0,0,2,0,0,0,0,0,0,0,12822,290,3,0,0,15,1,0,0,0,0,136,163,0,13,0,0,0,0,0,0,0,0,0,0,0,0
Eosinophils,112,4159,8,1,1,0,0,0,2,44,0,0,0,17,735,2,0,0,65,0,0,0,0,0,4,0,18,1,0,0,0,0,2,0,0,0,0,0,0,2
GMP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,417,0,0,0,3,0,0,11,264,0,0,0,0,0,0,0,0,0,0,0,0,0
HSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1757,0,0,0,1,0,0,1440,0,0,4,274,0,0,0,14,0,0,16
IgDpos IgMpos B cells,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,177,0,0,0,8576,0,0,0,1,0,0,0
IgM- IgD- B-cells,0,0,0,4,0,1,0,0,0,0,98,3,0,3,0,0,0,1,0,0,1,975,0,0,0,0,0,0,0,0,0,7,22,0,4,0,1,3,0,0
Intermediate Monocytes,11417,1,0,0,0,0,0,0,0,0,0,0,0,39,515,44,0,4,6,0,0,0,0,0,7,6,2,3,0,0,0,1,0,0,0,0,0,0,0,0
MEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,41,15,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,7,0,0,33,152,0,0,0,0,0,0,0,0,0
Macrophages,10,1,6,131,0,46,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NK cells,0,0,0,0,0,1,0,0,0,3,127,5,0,0,0,0,33,0,0,0,0,0,3,0,1,0,0,1,0,3,9,3,0,0,0,0,0,0,0,0
NKT cells,0,0,0,0,45,0,22,1,0,1,11,809,67,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Non-Classical Monocytes,1,0,0,0,0,0,0,0,1013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,50
gd T cells,1,0,1,0,1,0,4,0,1,0,0,23,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mDCs,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,1,0,0,1,0,0,0,0,0,0,0,1
pDCs,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,1,0,0,0,0,8,4,385,0,0,0,1110,1114,1
