true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29
Basophils,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,1053,1,0,0,0,0,0,0,0,0,0,0,0,0
CD16+_NK_cells,0,0,0,0,0,0,0,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
CD16-_NK_cells,2,6,0,23,0,11,0,3832,0,0,0,0,0,0,10,0,1,0,0,11,0,0,1,0,8,0,0,0,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,0,0,0,0,14,0,113,0,166,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,0,0,1,83,0,2783,0,0,0,29,389,5,0,0,0,0,0,0,5,0,0,0,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,0,0,0,0,913,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
CD4_T_cells,12086,12511,0,19,0,31,0,0,0,0,0,0,0,0,1139,0,0,0,339,1,8,0,0,157,0,56,0,0,19
CD8_T_cells,90,77,0,11300,0,7565,0,0,0,0,0,0,0,0,80,0,0,0,2,824,12,0,0,112,0,46,0,0,0
Mature_B_cells,0,0,10,0,8439,0,7769,0,119,10,0,1,0,0,0,0,2,3,0,0,0,0,10,0,74,0,0,83,0
Monocytes,0,0,11432,0,0,0,1,3,3,3040,4094,1,1905,0,0,0,0,442,0,0,0,1,1,0,82,0,94,0,0
Plasma_B_cells,0,0,0,0,0,0,2,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,303,0,1,0,0,0,0
Pre_B_cells,0,0,0,0,168,0,89,0,5685,0,0,2,0,0,0,0,38,0,0,0,0,0,144,0,9,0,0,0,0
Pro_B_cells,0,0,0,0,0,0,0,0,11,1,0,14,0,0,0,0,486,0,0,0,0,0,0,0,1,0,0,0,0
pDCs,0,0,0,0,0,0,0,0,0,0,0,1,0,1225,0,4,0,6,0,0,0,0,0,0,2,0,0,0,0
