true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),7,1,1,19,1,8,3,0,4,3,19,0,5,47,0,2,48,3,0,54,0,1,3,0,1,3,3,0,0,3,0,11,2,2,0,1,1,2,4,4
Basophils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,271,0,0,0,4,10,1,0,0,1,0,0,0,0,0,0,0,2,2
CD4 T cells,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,395,3,0,0,0
CD8 T cells,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,82,515,0,0
CLP,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,8,0
CMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,141
Classical Monocytes,0,0,0,115,336,0,0,0,0,12718,0,125,0,0,13,0,0,0,4,1,2,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Eosinophils,0,0,4169,106,767,0,3,8,2,20,1,4,0,0,1,3,0,0,2,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41
GMP,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,613
HSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
IgD- IgMpos B cells,202,0,0,0,0,95,1,1,1,1,15,0,1074,700,0,0,1210,0,0,207,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgDpos IgMpos B cells,156,0,0,0,0,8430,11,0,0,0,0,0,146,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
IgM- IgD- B-cells,0,0,0,0,0,32,0,0,4,3,1,0,0,451,0,0,0,0,0,521,1,0,0,0,0,0,99,0,1,3,4,3,0,0,0,0,0,0,0,0
Intermediate Monocytes,0,0,1,11361,560,0,0,0,0,41,0,9,0,0,4,0,0,0,55,0,0,0,6,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
MEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,70,0,0,0,0,0,0,0,71,0,0,0,0,0,277,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,177,14
Macrophages,0,0,1,11,0,0,0,3,135,1,0,2,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NK cells,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,1,3,0,0,0,43,114,2,0,1,2,6,0,0,0,0,0,0,11,1
NKT cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0,830,56,0,0,45,22,1,1,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plasma Cells,4,109,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gd T cells,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,1,3,0,0,0
mDCs,0,0,0,0,0,0,0,94,0,0,1,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pDCs,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,374,182,0,0,0,646,625,0,0,0,0,1138,1,1,0,0,1
