true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),6,3,4,0,0,0,1,4,15,2,0,2,1,2,2,2,3,103,0,4,47,0,0,0,2,3,3,25,6,5,11,1,0,3,2,2,1,0,0,1
Basophils,0,2,2,0,0,1,0,0,1,0,0,0,0,0,1,271,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD4 T cells,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0,1,395,0,0,0
CD8 T cells,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,526,188,0,0,0,0
CLP,0,0,2,0,0,0,29,0,0,0,11,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0
CMP,1,134,0,0,5,45,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,12815,0,0,134,13,0,0,4,178,211,0,1,238,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eosinophils,27,8,0,3,53,0,0,13,105,0,0,0,735,0,0,51,0,0,4161,1,0,0,8,1,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0
GMP,26,281,0,0,387,1,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSC,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,0,1491,0,2,0,0,0,1,217,94,1039,0,0,0,13,0,0,0,0,0,0
IgDpos IgMpos B cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,11,122,8500,115,0,1,0,0,0,0,1,0,0,0
IgM- IgD- B-cells,3,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,99,547,0,5,426,0,0,0,0,0,0,4,27,0,3,0,4,0,0,0,0,0,0,0
Intermediate Monocytes,75,2,0,5,3,0,0,226,11393,4,0,0,280,3,0,0,0,0,2,0,0,47,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
MEP,0,0,0,0,0,73,0,0,0,47,0,287,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPP,0,10,145,0,3,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,1,1,0,3,0,0,0,2,7,0,0,0,1,0,0,0,0,0,3,171,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK cells,0,0,9,1,0,2,3,0,0,0,0,0,0,0,2,4,123,1,0,1,0,0,0,1,0,36,0,1,0,0,5,0,0,0,0,0,0,0,0,0
NKT cells,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,812,22,0,0,1,66,46,0,0,0
Non-Classical Monocytes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,68
gd T cells,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,24,3,0,0,0,0,1,0,0,0
mDCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pDCs,0,1,0,0,0,0,0,1,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1134,1,0,0,2,273,1117,0
