true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Basophils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,242,958,0,0,0,0,1,0,0,0,0
CD16+_NK_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,2,0,0,134,1732,0,0,2,0,0,4,0
CD16-_NK_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2623,0,0,1,0,7,3,2,7,32,0,0,1162,1,23,12,6,0,0,23,1
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,209,0,0,3,58,11,0,0,0,0,0,0,1,0,2,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,0,0,14,1552,1344,0,0,0,0,0,0,5,10,363,0,0,0,0,2,0,3,0,0,0,0,2,0,0,0,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,0,0,62,83,0,0,0,0,0,0,2,0,761,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
CD4_T_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24420,154,1172,0,0,0,0,0,73,0,43,0,0,0,503
CD8_T_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,91,120,0,0,0,0,0,18749,804,31,0,0,0,37
Mature_B_cells,0,0,0,0,3,0,80,11,0,0,2,29,3,0,1,0,0,4,4,0,0,0,0,1,28,1,0,0,0,0,0,59,5286,11008,0,0
Monocytes,3494,340,54,1834,1804,0,3,12781,249,0,0,0,323,74,1,1,0,77,0,0,0,0,0,0,1,0,0,0,1,0,0,61,0,1,0,0
Plasma_B_cells,0,0,0,0,0,0,21,0,0,0,0,2,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Pre_B_cells,0,0,0,0,0,0,5030,0,0,0,17,696,0,0,128,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,252,5,0,0
Pro_B_cells,0,0,0,0,0,0,35,0,0,13,463,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pDCs,0,0,0,0,0,241,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,989,3,0,0,0,0,2,0,0,0,0
