true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
B-cell Frac A-C (pro-B cells),20,2,22,4,0,50,4,107,0,4,13,5,2,0,0,2,1,2,3,4,6,0,12,0,3
Basophils,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,272,0,0,0,0,14,0,0,1,0
CD4 T cells,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,399,0,0,4,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,607,0,0,0,0,0,0
CLP,0,0,0,0,0,0,9,1,0,0,0,41,0,0,0,0,0,0,0,0,0,0,4,4,0
CMP,0,0,0,0,0,0,0,0,0,170,0,4,0,0,0,0,0,23,0,0,0,0,0,0,0
Classical Monocytes,245,9385,0,3274,0,0,1,0,268,20,0,0,0,1,179,0,0,0,0,4,0,230,0,0,0
Eosinophils,128,10,0,10,4166,0,0,0,753,41,0,0,3,0,6,50,1,0,0,2,0,0,0,0,3
GMP,0,0,0,0,0,0,0,0,6,688,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
HSC,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,397,1,0,2046,0,1055,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,3
IgDpos IgMpos B cells,0,0,8688,0,0,66,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9
IgM- IgD- B-cells,0,3,40,0,0,520,7,444,0,0,4,0,0,1,0,0,0,0,0,5,98,0,0,1,0
Intermediate Monocytes,11702,35,0,25,2,0,5,0,250,5,0,0,1,0,5,0,0,0,0,0,0,15,0,0,0
MEP,0,0,0,0,0,0,0,1,0,0,0,1,0,73,0,0,0,345,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,29,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,10,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,185,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,0,0,1,6,13,0,0,0,3,0,2,0,1,161,0,0,2,0
NKT cells,0,0,0,0,0,0,0,0,0,0,881,1,0,1,0,1,65,1,10,0,1,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,1,1015,0,0,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0
gd T cells,1,0,0,0,0,0,0,0,0,0,23,0,1,3,1,0,6,0,0,0,0,0,0,0,0
mDCs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,109,0,0,0,0,6,0,0,0,0,0
pDCs,0,0,1,0,0,0,2970,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
