true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),3,13,1,3,1,11,2,0,4,0,1,1,0,0,1,0,0,2,10,0,2,1,0,5,10,9,13,0,4,0,11,0,0,144,1,0,6,4,2,1
Basophils,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,271,0,13,0,0,0
CD4 T cells,0,2,0,0,0,0,0,239,0,0,160,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CD8 T cells,736,58,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLP,0,0,0,0,0,0,0,0,10,0,0,1,32,0,0,0,0,5,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0
CMP,0,0,87,70,0,0,0,0,0,25,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Classical Monocytes,0,0,0,6,194,243,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,12991,0,0,0,0,0,139,0,13,6,0,0,1,0,0,1,3
Eosinophils,0,0,1,44,670,169,2,0,0,0,1,0,0,4123,46,0,0,0,19,0,0,1,2,31,2,0,1,7,0,3,1,1,2,0,45,1,0,0,0,1
GMP,0,0,14,588,54,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
HSC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,98,182,18,0,0,0,1147,0,0,2056,0,0,0,0,0,0
IgDpos IgMpos B cells,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8548,79,0,0,0,5,105,0,0,29,0,0,0,0,0,0
IgM- IgD- B-cells,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5,0,0,6,0,0,3,27,0,0,0,5,0,23,1,0,949,0,0,96,1,0,0
Intermediate Monocytes,0,0,2,3,184,10957,0,0,0,0,0,0,0,2,0,0,0,0,726,0,2,0,0,63,0,0,0,0,0,7,0,3,0,0,0,91,0,2,0,3
MEP,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,55,277,0
MPP,0,0,25,6,0,0,0,0,161,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,8,0,0,0,28,1,0,0,0,1,148,1,0,0,6,0,0,0,0,0,0,0
NK cells,0,5,2,0,0,0,3,0,10,2,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,2,4,0,154,0,0,0
NKT cells,11,887,0,0,0,0,0,8,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0
Non-Classical Monocytes,0,0,0,0,0,0,1015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
gd T cells,0,25,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
mDCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,89,0,0,1,18,0,1,0,0,0,0,0,0
pDCs,0,0,1,0,0,0,0,1,0,0,1,312,0,0,0,1201,960,3,1,409,12,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,70,0,0
