true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
B-cell Frac A-C (pro-B cells),20,3,21,4,147,0,4,0,8,13,10,2,2,0,2,1,3,1,4,6,13,0,0,2
Basophils,0,0,0,0,0,0,0,0,5,0,0,0,0,0,272,0,0,0,0,14,0,0,1,0
CD4 T cells,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,400,0,0,4,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,618,0,0,0,0,0,0,0
CLP,0,0,0,0,1,0,10,0,11,0,0,0,0,0,0,0,0,29,0,0,4,0,4,0
CMP,0,0,0,0,0,0,0,7,186,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Classical Monocytes,341,10822,0,2094,0,0,1,160,0,0,0,1,0,174,0,0,0,0,4,0,0,10,0,0
Eosinophils,492,16,0,3,0,4162,0,407,27,0,0,0,3,6,51,1,0,0,1,0,0,1,0,3
GMP,0,0,0,0,0,0,0,450,245,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
HSC,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,377,1,1706,0,0,0,0,0,1408,0,0,0,0,0,0,0,1,1,11,0,0,3
IgDpos IgMpos B cells,0,0,8731,0,7,0,0,0,0,1,19,0,0,0,0,1,0,0,0,0,0,0,0,9
IgM- IgD- B-cells,0,3,39,0,965,0,7,0,0,4,0,1,0,0,0,0,0,0,5,98,0,0,1,0
Intermediate Monocytes,11915,51,0,18,0,2,5,22,1,0,0,0,3,5,0,0,0,0,0,0,0,23,0,0
MEP,0,0,0,0,6,0,0,0,79,0,0,334,0,0,0,0,0,1,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,4,191,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Macrophages,10,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,184,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,0,14,6,0,0,0,0,3,0,0,2,2,160,0,0,2,0
NKT cells,0,0,0,0,0,0,0,0,2,878,0,1,0,0,1,67,11,0,0,1,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,1,0,0,0,1015,0,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0
gd T cells,1,0,0,0,0,0,0,0,0,26,0,0,1,1,0,6,0,0,0,0,0,0,0,0
mDCs,0,0,0,0,1,0,0,0,0,0,0,0,0,111,0,0,0,0,4,0,0,0,0,0
pDCs,1,0,1,0,0,0,2968,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
