true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,0,3,0,2,0,0,0,0,2,879,0,0,0,1,23,0,1,0,0,0,0,0,0,1,0,0
10,1,0,0,0,0,0,0,18,15,0,0,566,0,0,4,0,1,0,0,0,1,0,2,0,0,0
11,42,0,13364,17,7,410,0,0,0,1,0,0,14,0,0,72,1,0,10,0,0,0,0,0,2,24
12,0,0,0,13,7739,0,27,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,1
13,89,0,0,114,0,0,0,0,0,0,3469,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6
14,7,0,0,1,0,0,0,0,0,7,0,0,0,0,5,0,174,0,0,0,0,0,0,0,0,0
15,43,0,0,32,0,0,0,0,0,2,5,0,0,0,8,0,62,0,0,0,0,0,0,0,0,0
16,1453,0,3,983,17,0,0,16,29,2,479,0,16,0,23,0,0,0,0,0,0,0,0,0,0,4
17,0,0,52,0,0,6886,0,0,0,0,0,0,1,0,43,1,0,1,0,3,0,0,0,0,0,0
18,1,0,0,0,639,0,8779,0,53,0,0,0,4,82,5,0,0,0,0,0,0,1,0,0,0,0
19,51,1,0,50,0,0,0,78,3446,7,15,47,20,0,138,0,3,0,0,0,0,0,0,8,0,0
2,0,6697,0,19,0,0,0,0,1,38,0,0,0,5,9,0,0,0,0,0,1,0,0,9,0,0
20,0,0,0,0,0,0,0,0,0,0,0,467,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,2,0,0,0,0,0,3,0,9,0,0,2,0,223,0,0,0,0,0,0,0,0,0
24,2,0,0,6,0,0,0,2,69,3,0,898,0,0,12,0,2,0,0,0,0,0,0,0,0,0
3,0,474,0,17,0,0,0,0,8,739,0,0,0,3,23,0,1,0,0,0,0,0,0,13,0,0
4,19,0,0,3,0,0,0,0,2,7,0,1,0,0,0,0,221,0,0,0,0,0,0,0,0,0
5,11510,0,0,79,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5
6,1,0,0,0,0,0,0,0,45,9,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0
7,52,0,0,109,0,0,0,0,1,2,3,0,0,0,10,0,84,0,0,0,0,0,0,0,0,0
8,153,0,2,161,0,0,0,107,49,0,17,0,0,0,8,0,0,0,0,0,0,0,2,2,0,1
9,32,1,0,68,0,0,0,7627,12,0,3,35,0,0,9,0,0,0,0,0,1,1,6,1,0,0
