true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,0,2,0,2,0,0,0,0,2,881,0,0,0,0,0,0,0,8,17,0,0,0,0,0,0
10,1,0,0,0,0,0,0,10,16,0,0,574,0,0,0,0,0,2,2,0,1,0,2,0,0
11,41,0,13553,11,235,5,0,0,0,6,0,0,20,65,1,0,0,1,0,0,0,0,0,2,24
12,14,0,0,10,0,7777,16,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
13,92,0,0,109,0,0,0,0,0,0,3470,0,0,0,0,0,0,0,0,0,0,0,6,0,7
14,5,0,0,0,0,0,0,0,0,9,0,0,0,0,176,0,0,0,4,0,0,0,0,0,0
15,44,0,0,31,0,0,0,0,0,2,4,0,0,0,63,0,0,2,6,0,0,0,0,0,0
16,1523,0,3,752,0,0,0,17,22,190,464,0,23,0,0,0,0,6,17,0,0,0,0,4,4
17,0,0,117,0,6818,0,0,0,0,0,0,0,5,0,0,0,1,43,0,3,0,0,0,0,0
18,1,0,0,0,0,633,8851,0,67,0,0,0,5,0,0,1,0,5,0,0,0,1,0,0,0
19,55,1,0,49,0,0,0,77,3456,8,10,46,13,0,3,0,0,142,4,0,0,0,0,0,0
2,0,6613,0,25,0,0,0,0,1,118,0,0,0,0,0,5,0,8,8,0,1,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,0,1,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,252,40,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,2,0,0,0,0,0,2,0,7,0,0,227,0,0,1,0,0,0,0,0,0,0
24,2,0,0,1,0,0,0,2,71,8,1,882,0,0,15,0,0,7,5,0,0,0,0,0,0
3,0,391,0,15,0,0,0,0,7,826,0,0,0,0,0,3,0,15,21,0,0,0,0,0,0
4,17,0,0,0,0,0,0,0,2,13,0,1,0,0,220,0,0,0,0,0,0,0,0,0,0
5,11647,0,0,68,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,11,0,5
6,1,0,0,0,0,0,0,0,44,9,0,1,0,0,17,0,0,1,0,0,0,0,0,0,0
7,51,0,0,104,0,0,0,0,1,5,5,0,0,0,85,0,0,5,5,0,0,0,0,0,0
8,153,1,2,152,0,1,0,107,47,9,17,0,0,0,0,0,0,9,1,0,0,0,2,0,1
9,34,1,0,67,0,2,0,7615,10,3,3,43,0,0,0,0,0,8,2,0,1,1,6,0,0
