true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
B-cell Frac A-C (pro-B cells),20,3,22,4,136,0,4,4,21,0,13,2,5,2,0,2,3,1,4,6,12,0,0,2
Basophils,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,272,0,0,0,14,0,1,0,0
CD4 T cells,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,399,4,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,593,0,0,0,0,0,0,0
CLP,0,0,0,0,1,0,10,0,0,0,0,0,40,0,0,0,0,0,0,0,4,4,0,0
CMP,0,0,0,0,0,0,0,193,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,271,11218,0,1696,0,0,1,21,0,221,0,2,0,0,173,0,0,0,4,0,0,0,0,0
Eosinophils,289,18,0,3,0,4164,0,40,0,595,0,0,0,3,6,50,0,1,1,0,0,0,0,3
GMP,0,0,0,0,0,0,0,686,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0
HSC,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,402,1,1013,0,0,0,2083,0,0,0,0,0,0,0,0,0,1,1,4,0,0,3
IgDpos IgMpos B cells,0,0,8737,0,0,0,0,0,20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9
IgM- IgD- B-cells,0,3,39,0,965,0,6,0,0,0,4,1,1,0,0,0,0,0,5,98,0,1,0,0
Intermediate Monocytes,11830,55,0,12,0,2,5,3,0,103,0,0,1,3,5,0,0,0,0,0,0,0,26,0
MEP,0,0,0,0,6,0,0,80,0,0,0,333,1,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,20,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0
Macrophages,10,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,184,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,3,0,0,6,0,13,0,0,3,0,0,2,160,0,2,0,0
NKT cells,0,0,0,0,0,0,0,1,0,0,896,1,1,0,0,1,10,50,0,1,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,1,1015,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0
gd T cells,1,0,0,0,0,0,0,0,0,0,28,3,0,1,1,0,0,1,0,0,0,0,0,0
mDCs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,111,0,0,0,4,0,0,0,0,0
pDCs,0,0,1,0,0,0,2970,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
