true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),0,0,0,63,4,11,1,1,3,87,0,1,3,2,22,1,2,1,1,0,0,4,0,0,12,2,3,2,0,3,4,0,6,0,3,2,22,0,0,0
Basophils,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,2,3,0,0,0,4,0,0,0,0,0
CD4 T cells,0,0,0,0,0,0,172,0,0,0,226,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CD8 T cells,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,516,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CLP,0,2,0,0,0,0,0,6,12,1,0,0,0,1,4,0,0,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CMP,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,17,1,0,0,0,0,5,0,0
Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,11,0,0,0,12999,0,0,0,351,14,91,138
Eosinophils,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,8,4164,0,0,0,52,0,0,28,0,19,1,0,1,475,46,369,3
GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,336,4,16,0,0,0,0,335,11,0
HSC,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,0,1518,847,138,0,0,0,841,0,0,0,1,160,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
IgDpos IgMpos B cells,0,0,0,30,99,8616,0,0,0,2,1,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
IgM- IgD- B-cells,0,4,0,0,0,29,0,3,1,973,0,0,98,2,0,0,0,0,0,2,1,4,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Intermediate Monocytes,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,2,0,59,75,0,0,11863,4,29,4
MEP,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,264,0,0,0,0,0,71,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,117,46,0,0,0,0,0,0,2,0,0
Macrophages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,140,7,1,0,0,0,0,0,0,1,0,1,0,0,0,10,0,0,2
NK cells,0,0,0,0,0,0,0,1,0,1,0,0,119,1,0,0,0,0,3,0,1,0,0,0,5,0,0,4,0,9,2,1,0,0,41,0,0,0,0,1
NKT cells,0,0,0,0,0,0,40,0,0,0,7,19,6,0,0,0,1,61,0,1,0,0,0,0,822,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1012,0,0,0,0
Plasma Cells,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gd T cells,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
mDCs,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,88,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
pDCs,1132,1181,400,0,0,1,1,0,1,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,1,0,0,0,0,0,1,0,0,0
