true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),12,69,38,6,3,0,0,9,37,1,0,1,0,2,2,4,1,1,4,2,13,1,5,0,0,0,2,0,21,2,1,1,0,21,1,4,0,0,2,0
Basophils,0,0,0,13,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,272,1,0,0,0,0
CD4 T cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0
CD8 T cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,110,0,0,0,0,616,0,0,0,0,0,0,2,0,0,0,0,0,0
CLP,0,0,1,0,5,0,0,0,0,0,9,6,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
CMP,0,0,0,0,0,0,0,0,0,0,11,0,0,0,118,0,0,0,2,45,0,0,0,0,4,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Classical Monocytes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2632,0,0,0,0,25,16,0,0,0,0,10394,152,0,0,279,0,0,0,2,0,106
Eosinophils,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,10,28,0,0,1,2,53,0,0,0,1,13,442,3,8,391,45,1,4165,2,2,3
GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,321,0,0,0,0,342,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0
HSC,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,1374,1161,19,0,0,0,0,228,532,0,0,0,0,0,0,0,0,0,3,0,0,0,177,1,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0
IgDpos IgMpos B cells,56,3,0,0,0,0,0,8629,3,0,0,0,0,0,0,0,0,1,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
IgM- IgD- B-cells,0,3,465,95,1,3,0,32,506,1,0,4,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,3,0,0,0,0,0,5,0,0,0,0
Intermediate Monocytes,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,28,1,0,0,0,5,3,0,0,0,0,41,59,0,0,11849,0,0,1,45,0,8
MEP,0,2,14,0,0,0,0,0,0,62,1,0,0,296,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,30,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,108,37,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,11,0,172,1,0,0,3
NK cells,0,0,2,154,0,0,0,0,1,0,0,1,0,0,1,9,3,0,0,0,6,0,0,1,0,3,0,0,1,0,0,0,0,0,4,1,0,0,1,1
NKT cells,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,48,0,0,880,20,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,110,3,0,0,0,0,0,0,0,0,0,0,0
gd T cells,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,23,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
mDCs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,89,0,0,0,0,0,0,0
pDCs,0,0,0,0,338,1154,1117,2,0,0,0,0,356,0,0,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
