true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),8,1,0,0,20,8,3,18,4,2,0,0,2,4,7,37,0,0,111,4,0,1,2,0,0,1,2,2,2,0,13,2,1,0,2,0,1,3,3,2
Basophils,0,0,0,0,1,0,0,0,0,0,0,0,271,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0,0,0,2,2
CD4 T cells,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,2,0,0,0,0,0,161,0,0,0
CD8 T cells,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,2,736,0,0
CLP,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,10,0,0,8,0,0,0,29,0,0,0,0,0,3,0
CMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,37,91,0,0,0,0,60
Classical Monocytes,0,0,0,0,137,0,0,0,0,0,263,2,0,13034,0,0,13,0,0,0,125,1,0,0,0,0,0,21,0,0,0,0,0,0,11,0,0,0,0,0
Eosinophils,0,0,8,4157,201,0,4,0,2,3,678,0,50,16,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,1,0,0,1
GMP,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,606,0,0,0,0,50
HSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
IgD- IgMpos B cells,186,0,1,0,0,120,1,15,1,0,0,0,0,2,1329,352,0,0,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgDpos IgMpos B cells,97,0,0,0,0,8517,14,1,0,0,0,0,0,0,131,2,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IgM- IgD- B-cells,0,0,0,0,0,27,0,5,4,0,0,1,0,3,0,537,0,0,433,0,0,3,0,0,4,0,0,0,4,0,3,99,0,0,0,0,0,0,0,0
Intermediate Monocytes,0,0,0,2,11602,0,0,1,0,1,293,0,0,69,0,0,4,55,0,0,6,0,3,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2
MEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,71,0,0,0,0,269,0,0,0,0,0,0,72,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,7,0,0,0,146,9
Macrophages,0,0,5,1,10,0,0,0,136,0,0,43,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NK cells,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,1,42,1,0,0,0,0,0,0,0,1,0,5,118,4,2,0,0,0,0,9,0
NKT cells,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,8,881,10,0,1,0,0,44,12,1,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plasma Cells,4,112,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gd T cells,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,25,0,0,0,0,0,2,0,0,0
mDCs,0,0,93,0,0,0,0,2,0,0,0,0,0,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pDCs,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,561,1155,0,0,0,0,1,0,0,0,0,0,1104,1,0,0,1
