true_population,1,3,4,7,8,9,11,12,13,14,15,16,17,18,19,20,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,39,40
Basophils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,200,0,0,0,0,997,0,0
CD16+_NK_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,573,0,0,0,0,0,0,201,0,0,0,0,0,1473,0,0,0
CD16-_NK_cells,2,1,1,0,0,0,19,0,0,0,0,0,7,0,12,26,2712,1,0,0,0,0,0,1122,0,0,1,0,0,0,0,1,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,5,6,0,0,0,2,172,0,8,0,0,5,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,1574,12,19,0,0,0,500,0,0,1172,0,0,5,3,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,88,7,0,0,0,0,797,0,0,10,0,0,0,0,0
CD4_T_cells,24353,635,134,0,0,1,79,91,0,0,0,0,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD8_T_cells,267,31,81,0,0,0,18814,17,0,0,0,0,92,0,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mature_B_cells,0,0,0,1,0,0,0,0,0,0,1,5,1,12,0,44,0,4,0,4,0,15530,789,0,0,1,0,2,93,0,0,1,32
Monocytes,0,0,0,9270,3598,0,0,0,585,301,1987,472,0,4607,0,5,1,1,0,29,237,0,0,1,0,0,0,0,3,1,0,1,0
Plasma_B_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,306,0
Pre_B_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,126,0,0,0,0,0,19,5204,0,0,139,644
Pro_B_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,466,30,0,0,3,2
pDCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1231,0,0,0,0,3,0,0
