true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),15,2,4,1,21,11,7,0,1,2,0,3,6,45,0,5,0,68,38,0,1,3,0,1,2,3,0,1,12,2,1,1,0,0,1,2,1,0,3,3
Basophils,0,0,0,0,0,0,0,0,271,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,3
CD4 T cells,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,396,0,0,0,0,0
CD8 T cells,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,515,192,0,0,0
CLP,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,7,1,0,2,0,0,0,34,0,0,0,0,0,0,0,7,0
CMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,23,0,0,0,0,0,18,0,141
Classical Monocytes,0,0,0,0,431,0,0,0,0,0,11,0,0,0,13,12944,172,0,1,2,0,0,0,0,1,0,0,0,0,0,0,3,29,0,0,0,0,0,0,0
Eosinophils,1,3,2,4162,858,0,0,8,45,3,1,0,0,0,2,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,38,0,1,0,0,0,0,1
GMP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,551,132,0,0,0,0,6,0,6
HSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
IgD- IgMpos B cells,22,1,1,0,0,91,194,1,0,0,0,0,905,1188,0,2,0,1086,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgDpos IgMpos B cells,1,14,0,0,0,8493,101,0,0,0,0,0,134,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IgM- IgD- B-cells,0,0,4,0,0,32,0,0,0,0,1,0,0,506,0,3,0,2,465,1,0,0,0,4,0,98,4,0,3,0,0,0,0,0,0,0,0,0,0,0
Intermediate Monocytes,0,0,0,1,11928,0,0,0,0,0,5,0,0,0,36,55,8,0,0,0,0,3,0,0,2,0,1,0,0,0,0,2,2,0,0,0,0,0,0,2
MEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83,0,0,0,0,0,1,0,0,0,0,269,0,0,0,0,0,0,0,66,0,0
MPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,6,0,0,0,0,0,1,148,34
Macrophages,0,0,142,1,10,0,0,6,0,0,0,0,0,0,0,1,2,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK cells,0,0,1,0,0,0,0,0,3,0,3,41,0,0,0,0,0,0,1,1,0,0,0,3,0,117,0,0,5,0,0,0,0,0,0,0,0,1,10,3
NKT cells,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,10,0,20,800,0,0,0,0,0,47,1,77,1,1,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plasma Cells,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gd T cells,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,3,23,0,0,0,0,0,1,0,0,0,0,0
mDCs,1,0,0,0,0,0,0,91,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pDCs,0,3,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,271,372,0,0,0,1179,0,0,0,0,1,0,1142,2,0,0,0,0,0
