true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32
Basophils,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,1018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CD16+_NK_cells,0,0,0,0,0,0,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
CD16-_NK_cells,0,0,22,2,0,11,3838,0,0,0,0,0,0,0,10,0,0,0,0,0,11,1,1,0,1,0,8,0,0,0,0,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,0,0,0,0,7,8,1,0,278,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,0,0,1,2984,109,0,0,95,0,0,35,2,0,0,0,0,64,0,0,0,5,0,0,0,0,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
CD4_T_cells,13363,0,11,10359,0,35,0,0,0,0,0,0,0,0,1367,0,0,0,279,6,0,736,0,0,0,153,0,55,0,0,0,2
CD8_T_cells,245,0,11078,50,0,7646,0,0,0,0,0,0,0,0,80,0,0,0,2,7,840,2,0,0,0,107,0,46,0,0,0,5
Mature_B_cells,0,10,0,1,9641,0,0,6164,98,2,7,0,0,0,0,415,0,3,0,0,0,0,4,0,10,0,74,0,0,75,16,0
Monocytes,0,11822,0,0,1,0,3,0,3,1,2885,2514,3251,0,0,0,0,437,0,0,0,0,0,1,1,0,83,0,96,0,1,0
Plasma_B_cells,0,0,0,0,0,0,0,1,22,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,303,0,1,0,0,0,0,0
Pre_B_cells,0,0,0,0,3,0,0,43,5058,43,0,0,0,0,0,835,0,0,0,0,0,0,0,0,144,0,9,0,0,0,0,0
Pro_B_cells,0,0,0,0,0,0,0,0,10,498,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pDCs,0,0,0,0,0,0,0,0,0,0,0,4,0,1224,0,0,2,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0
