true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,31,32
Basophils,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,1009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CD16+_NK_cells,0,0,0,0,0,0,0,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
CD16-_NK_cells,0,2,8,17,17,0,0,3831,0,0,0,0,0,10,0,0,0,0,0,0,0,10,1,1,0,8,0,0,0,0,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,0,0,0,0,0,99,29,166,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,0,0,1,0,2767,114,0,0,0,28,0,0,2,298,0,0,80,0,0,5,0,0,0,0,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,0,0,0,913,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
CD4_T_cells,0,13763,10972,13,44,0,0,0,0,0,0,0,0,1093,0,0,266,0,0,0,6,0,0,0,152,0,55,0,0,0,2
CD8_T_cells,0,136,66,10534,8291,0,0,0,0,0,0,0,0,72,0,0,22,0,0,0,6,824,0,0,105,0,46,0,0,1,5
Mature_B_cells,12,0,0,0,0,8214,7560,1,103,0,1,5,0,0,443,0,0,0,3,0,0,0,4,10,0,74,0,90,0,0,0
Monocytes,14298,0,0,0,0,1,0,3,3,4405,1,944,0,0,0,0,0,833,442,0,0,0,3,1,0,82,0,0,83,0,0
Plasma_B_cells,0,0,0,0,0,1,0,0,22,0,0,0,0,0,2,0,0,0,0,1,0,0,0,303,0,1,0,0,0,0,0
Pre_B_cells,0,0,0,0,0,42,4,0,5062,0,2,0,0,0,835,0,0,0,0,37,0,0,0,144,0,9,0,0,0,0,0
Pro_B_cells,0,0,0,0,0,0,0,0,12,0,14,1,0,0,2,0,0,0,0,483,0,0,0,0,0,1,0,0,0,0,0
pDCs,0,0,0,0,0,0,0,0,0,0,1,2,1225,0,0,2,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0
