true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,30,31
Basophils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,1041,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CD16+_NK_cells,0,0,0,0,0,0,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
CD16-_NK_cells,2,0,23,6,0,11,3830,0,0,0,0,0,0,12,0,0,0,0,0,11,1,0,1,0,8,0,0,0,0,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,0,0,0,0,126,1,0,0,0,167,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,0,0,1,3120,50,0,0,0,0,37,0,2,0,0,80,0,0,0,5,0,0,0,0,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,0,0,913,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
CD4_T_cells,13760,0,26,10326,0,36,0,0,0,0,0,0,0,1624,0,0,374,0,6,0,0,0,0,155,0,57,0,0,0,2
CD8_T_cells,103,0,11026,56,0,7892,0,0,0,0,0,0,0,56,0,0,4,0,6,819,0,0,0,94,0,46,0,0,1,5
Mature_B_cells,0,9,0,0,9474,0,0,6735,101,2,8,0,0,0,0,0,0,3,0,0,4,13,10,0,74,0,0,87,0,0
Monocytes,0,12802,0,0,0,0,3,1,3,1,2042,3295,2340,0,0,0,0,436,0,0,3,0,1,0,82,0,90,0,0,0
Plasma_B_cells,0,0,0,0,0,0,0,2,23,1,0,0,0,0,0,0,0,0,0,0,0,0,303,0,1,0,0,0,0,0
Pre_B_cells,0,0,0,0,228,0,0,74,5084,39,0,0,0,0,0,0,0,0,0,0,0,556,145,0,9,0,0,0,0,0
Pro_B_cells,0,0,0,0,1,0,0,0,10,500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
pDCs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1227,2,0,6,0,0,0,0,0,0,2,0,0,0,0,0
