true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),7,2,0,0,1,2,2,11,10,0,1,2,1,11,17,0,0,0,21,2,111,0,4,2,0,34,3,2,1,3,0,2,1,2,0,1,4,0,4,2
Basophils,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,272,0,10,0,0,0,0,1,0,0,0,2,2
CD4 T cells,0,0,0,0,396,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD8 T cells,0,0,0,0,0,512,196,0,0,0,0,0,88,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLP,0,0,0,0,0,0,0,0,0,0,2,7,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,32,0,0,8,0,0,3,0
CMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,28,14,1,0,0,91
Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,166,0,0,12,0,12642,2,0,0,0,0,0,321,1,0,9,0,0,325,122,0,0
Eosinophils,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,8,4161,2,171,2,0,1,1,14,0,0,0,49,0,0,712,0,0,43,0,0,0,3,0,1
GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,0,0,630,0,0,27,0,0,27
HSC,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
IgD- IgMpos B cells,119,11,0,0,0,0,0,1382,211,0,0,0,0,0,11,1,0,0,0,0,1690,0,1,0,0,80,0,0,0,0,0,0,0,0,0,0,2,0,0,0
IgDpos IgMpos B cells,8598,14,0,0,1,0,0,67,83,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgM- IgD- B-cells,32,0,0,0,0,0,0,0,0,0,4,6,0,3,2,0,0,0,0,0,527,0,4,3,1,442,0,1,0,98,0,0,0,0,0,0,0,0,0,0
Intermediate Monocytes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,53,11540,0,0,3,0,30,0,0,0,0,2,0,389,0,0,2,0,0,13,8,0,2
MEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56,0,0,0,0,0,286,0,0,76,1,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7,1,0,0,0,143,15
Macrophages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,9,0,0,0,137,1,41,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
NK cells,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,2,0,0,1,1,41,4,0,117,0,0,3,0,2,0,0,1,9,1
NKT cells,0,0,0,0,46,1,59,0,0,0,0,0,21,821,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,8,0,0,0,0,1,0,0,0,1,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plasma Cells,0,2,0,0,0,0,0,0,1,114,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gd T cells,0,0,0,0,1,0,1,0,0,0,0,2,3,22,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mDCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,93,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pDCs,1,2,1182,418,1,0,0,0,1,0,1193,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,1
