true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),8,10,6,138,4,3,0,0,1,2,1,0,5,2,1,3,1,0,1,21,0,6,0,4,12,2,0,1,0,2,0,2,11,2,3,3,0,0,0,11
Basophils,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,271,0,0,4,10,0,0,0,0
CD4 T cells,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,158,241,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
CD8 T cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,526,0,0,0,225,0,0,2,0,0,0,0,0,0,0
CLP,0,0,0,1,0,0,2,0,0,6,6,0,0,0,36,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMP,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,14,137,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,13028,0,1,0,0,0,0,17,0,114,0,228,0,0,0,8,0,162,10
Eosinophils,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,26,0,25,0,0,7,4,53,0,442,49,373,2,0,0,2,4144,0,39
GMP,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,7,0,402,0,0,0,0,274,0,2,5,0,0,0,0,0,0,0,0
HSC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,102,1355,661,1159,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,15,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
IgDpos IgMpos B cells,8577,79,6,3,0,0,0,0,0,0,0,0,95,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0
IgM- IgD- B-cells,29,0,0,973,5,0,4,0,1,0,4,0,0,0,0,0,0,0,0,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0
Intermediate Monocytes,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,93,0,2,0,0,0,1,4,0,48,0,11245,0,0,0,73,1,2,566
MEP,0,0,0,9,0,0,0,0,35,1,0,0,0,288,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,138,0,0,0,0,0,0,1,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Macrophages,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,11
NK cells,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,9,0,0,0,1,2,0,1,2,6,0,0,1,0,0,0,4,0,0,42,115,0,0,0,0
NKT cells,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,43,8,0,0,0,0,1,0,888,1,0,0,0,14,0,1,0,0,0,3,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1014,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,111,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gd T cells,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
mDCs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,79,32,0,0,0,0,0,0,0,0,0,0,0,0
pDCs,1,0,0,0,0,219,1183,1177,0,0,0,388,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
