true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),0,0,1,1,2,13,4,4,0,2,0,1,0,1,0,2,27,4,2,0,2,6,121,0,2,0,0,8,0,20,8,19,0,0,4,7,3,0,2,0
Basophils,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,4,10,0,0,0,0,0,271,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CD4 T cells,0,0,162,1,0,2,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0
CD8 T cells,0,0,0,104,605,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CLP,0,0,0,0,0,0,3,0,1,8,0,0,0,31,0,1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
CMP,0,0,0,0,0,0,0,158,0,0,0,0,21,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,1,12999,0,2,0,0,126,0,15,368,0,0,74,0,0,0,0,0,0,7
Eosinophils,0,0,1,0,0,0,0,30,0,0,0,0,0,0,27,0,0,0,0,0,0,20,0,0,50,4164,482,0,1,379,0,0,4,7,1,0,4,0,2,1
GMP,0,0,0,0,0,0,0,359,0,0,0,0,0,0,327,0,0,0,0,0,0,10,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HSC,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,2,1878,0,0,0,0,1229,0,0,103,12,0,1,1,216,1,0,0,0
IgDpos IgMpos B cells,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,83,0,0,8537,0,0,0,1,120,11,0,0,0
IgM- IgD- B-cells,0,0,0,0,0,3,0,0,4,5,0,0,0,0,0,0,320,0,99,0,0,3,655,1,0,0,0,0,0,0,27,2,0,0,4,0,0,0,0,0
Intermediate Monocytes,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,0,0,0,0,0,60,0,0,0,2,56,0,4,11847,0,0,6,0,0,0,1,0,0,62
MEP,0,0,0,0,0,0,0,0,0,0,0,1,75,0,0,0,62,0,0,0,281,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,130,30,0,0,0,0,1,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42,0,1,0,0,0,10,0,0,2,4,138,0,0,0,0,0
NK cells,0,0,0,0,0,4,9,2,0,1,0,3,1,3,0,0,1,41,117,0,0,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
NKT cells,0,0,40,19,1,868,1,0,0,0,8,15,1,0,0,0,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1014,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,2,109,0,0
gd T cells,0,0,1,3,0,23,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
mDCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,2,0,92,0,0,0,0,0,0
pDCs,1079,310,1,0,0,0,0,1,1154,0,1,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
