true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,25,26,27,28,29,30,32,33,34,35,36,37,39
Basophils,0,1001,190,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0
CD16+_NK_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1649,0,171,104,0,0,0,0,0,321,1,0,0,0,0,0,2,0,0,0
CD16-_NK_cells,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1220,346,0,0,0,0,2,2253,28,21,0,0,12,13,6,0,2,0
CD34+CD38+CD123+_HSPCs,7,6,185,98,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,1728,6,0,549,11,0,0,0,926,3,42,7,0,0,2,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0
CD34+CD38lo_HSCs,894,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
CD4_T_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0,25544,0,43,0,138,592
CD8_T_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18465,0,0,475,1017,33,1,81,36
Mature_B_cells,0,0,0,0,3,0,0,0,2,1,4,3,7,5,90,0,39,0,0,0,3,0,7017,0,0,36,0,0,9252,1,0,57,0,0,0
Monocytes,0,0,0,0,1443,309,1691,2837,0,1,1,62,4227,9481,3,1,0,1,1,651,308,14,0,0,0,5,0,0,1,0,0,62,0,0,0
Plasma_B_cells,0,0,0,1,0,0,0,0,0,303,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pre_B_cells,0,0,0,0,0,0,0,0,3,122,1,0,0,0,5262,0,601,0,0,0,0,0,131,0,0,0,0,0,11,0,0,4,0,0,0
Pro_B_cells,7,0,0,34,0,0,0,0,364,1,0,0,0,0,105,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pDCs,0,3,1229,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
