true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
B-cell Frac A-C (pro-B cells),19,2,21,4,149,0,4,0,4,13,8,2,5,2,0,2,1,3,4,6,13,0,0,4
Basophils,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,272,0,0,0,14,0,1,0,0
CD4 T cells,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,399,0,4,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,608,0,0,0,0,0,0
CLP,0,0,0,0,1,0,10,0,0,0,0,0,40,0,0,0,0,0,0,0,4,4,0,0
CMP,0,0,0,0,0,0,0,0,193,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,152,10386,0,2522,0,0,1,334,14,0,0,1,0,0,192,0,0,0,4,0,0,0,1,0
Eosinophils,96,15,0,4,0,4162,0,794,35,0,0,0,0,3,7,51,1,0,1,0,0,0,1,3
GMP,0,0,0,0,0,0,0,9,686,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
HSC,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,352,1,1758,0,0,0,0,0,1380,0,0,0,0,0,0,0,2,1,11,0,0,3
IgDpos IgMpos B cells,0,0,8726,0,7,0,0,0,0,1,24,0,0,0,0,0,1,0,0,0,0,0,0,9
IgM- IgD- B-cells,0,3,39,0,965,0,7,0,0,4,0,1,0,0,0,0,0,0,5,98,0,1,0,0
Intermediate Monocytes,11571,49,0,19,0,1,5,373,3,0,0,0,1,3,6,0,0,0,0,0,0,0,14,0
MEP,0,0,0,0,6,0,0,0,79,0,0,334,1,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,24,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0
Macrophages,10,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,181,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,0,3,6,0,0,13,0,0,3,0,0,2,160,0,2,0,0
NKT cells,0,0,0,0,0,0,0,0,1,881,0,1,1,0,0,1,65,10,0,1,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,1,1015,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0
gd T cells,1,0,0,0,0,0,0,0,0,23,0,3,0,1,1,0,6,0,0,0,0,0,0,0
mDCs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,111,0,0,0,4,0,0,0,0,0
pDCs,0,0,1,0,0,0,2970,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
