true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25
1,0,5,0,2,0,0,0,0,2,878,0,0,0,0,1,0,7,17,0,0,0,0,0,0,0
10,1,0,0,0,0,0,13,0,15,0,0,0,571,0,0,1,2,2,0,1,0,0,2,0,0
11,43,0,13277,5,0,489,0,0,0,12,0,23,0,87,0,1,0,0,0,0,1,0,0,2,24
12,2,0,0,13,7557,0,0,5,0,0,0,206,0,0,37,0,0,0,0,0,0,0,0,0,1
13,78,0,0,125,0,0,0,0,0,2,3467,0,0,0,0,0,0,0,0,0,0,0,6,0,6
14,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,177,0,5,0,0,0,0,0,0,0
15,40,0,0,32,0,0,0,0,0,4,5,0,0,0,0,63,2,6,0,0,0,0,0,0,0
16,1410,0,3,664,0,0,18,0,29,342,501,31,0,0,0,0,6,17,0,0,0,0,0,0,4
17,0,0,45,0,0,6892,0,0,0,0,0,1,0,3,0,0,43,0,3,0,0,0,0,0,0
18,1,0,0,0,861,0,0,8517,40,0,0,59,0,0,80,0,5,0,0,0,0,1,0,0,0
19,57,1,0,39,0,0,79,0,3456,17,8,10,47,0,0,4,142,4,0,0,0,0,0,0,0
2,0,6702,0,25,0,0,0,0,1,21,0,0,0,0,8,0,13,8,0,1,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,1,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,249,42,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,2,0,0,0,0,1,2,0,0,7,0,0,225,1,1,0,0,0,0,0,0,0
24,2,0,0,1,0,0,2,0,70,8,0,0,896,0,0,3,7,5,0,0,0,0,0,0,0
3,0,590,0,18,0,0,0,0,7,623,0,0,0,0,3,0,16,21,0,0,0,0,0,0,0
4,16,0,0,0,0,0,0,0,3,13,0,0,1,0,0,220,0,0,0,0,0,0,0,0,0
5,11211,0,0,78,0,0,0,0,0,5,720,0,0,0,0,0,0,0,0,0,0,0,11,0,5
6,1,0,0,0,0,0,0,0,45,9,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0
7,50,0,0,102,0,0,0,0,2,6,4,0,0,0,0,87,5,5,0,0,0,0,0,0,0
8,144,1,2,154,0,0,110,0,47,9,22,0,0,0,0,0,9,1,0,0,0,0,2,0,1
9,33,1,0,66,1,0,7630,0,11,3,3,0,28,0,0,0,7,2,0,1,0,4,6,0,0
