true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),0,19,4,0,1,0,4,0,2,1,2,4,0,2,0,3,0,2,3,7,6,0,4,0,47,104,2,2,4,0,12,1,1,1,22,5,1,0,0,0
Basophils,0,0,0,0,0,0,2,0,0,0,0,4,0,0,1,2,0,271,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0
CD4 T cells,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,0,0,0,0,0,0,0,0,2,394,0,0,0,0,0,0,0
CD8 T cells,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,517,0,0,0,85,0,0,0,0,0,0,0,0
CLP,0,0,0,0,0,0,0,0,10,28,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,5,0,0,0
CMP,0,0,0,0,0,5,155,0,13,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,243,167,11434,107,1224,23,0,390,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eosinophils,650,199,20,3,4,45,27,2,0,0,4,0,0,0,0,0,4155,49,0,0,0,7,1,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0
GMP,0,0,0,0,2,521,167,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IgD- IgMpos B cells,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1035,1148,0,0,1,1,140,0,0,0,169,1011,0,0,0,0
IgDpos IgMpos B cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,13,0,8584,0,1,0,14,135,0,0,0,0
IgM- IgD- B-cells,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,5,0,506,465,98,0,0,1,32,0,0,0,0,0,4,0,3,0
Intermediate Monocytes,160,11724,52,9,7,3,2,75,2,0,0,0,0,0,0,0,2,0,3,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MEP,0,0,0,0,0,0,0,0,1,0,0,0,68,271,72,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,5,15,0,0,36,0,0,0,0,1,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,0,11,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK cells,0,0,0,1,0,0,0,0,0,3,0,41,0,0,2,9,0,4,0,6,0,0,1,1,0,1,117,0,0,2,0,0,0,0,0,0,1,0,0,0
NKT cells,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,403,483,0,0,0,0,0,3,1,0,0,0,21,46,0,0,0,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,1015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,29,0,0,0,0,0
gd T cells,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,23,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
mDCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,1,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
pDCs,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,385,1144,1159
