true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
B-cell Frac A-C (pro-B cells),20,3,21,4,144,0,4,0,4,13,13,5,0,2,0,2,3,2,1,4,6,13,0,0,2
Basophils,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,272,0,1,0,0,14,0,1,0,0
CD4 T cells,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,399,4,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,616,0,0,0,0,0,0,0,0
CLP,0,0,0,0,1,0,9,0,0,0,0,41,0,0,0,0,0,0,0,0,0,4,4,0,0
CMP,0,0,0,0,0,0,0,0,176,0,0,6,0,0,0,0,0,15,0,0,0,0,0,0,0
Classical Monocytes,221,10824,0,2108,0,0,1,238,22,0,0,0,2,0,187,0,0,0,0,4,0,0,0,0,0
Eosinophils,183,17,0,3,0,4162,0,697,44,0,0,0,0,3,7,51,0,0,1,1,0,0,0,1,3
GMP,0,0,0,0,0,0,0,3,691,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
HSC,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,352,1,1276,0,0,0,0,1862,0,0,0,0,0,0,0,0,0,1,1,12,0,0,3
IgDpos IgMpos B cells,0,0,8731,0,3,0,0,0,0,23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9
IgM- IgD- B-cells,0,3,40,0,964,0,5,0,0,0,4,2,1,0,0,0,0,0,0,5,98,0,1,0,0
Intermediate Monocytes,11743,57,0,15,0,1,5,183,4,0,0,1,0,3,5,0,0,0,0,0,0,0,0,28,0
MEP,0,0,0,0,1,0,0,0,0,0,0,1,69,0,0,0,0,349,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,11,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,10,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,181,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,0,1,0,6,13,0,0,0,3,0,2,0,2,160,0,2,0,0
NKT cells,0,0,0,0,0,0,0,0,0,0,895,1,1,0,0,1,11,1,50,0,1,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,1,0,1015,0,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0
gd T cells,1,0,0,0,0,0,0,0,0,0,28,0,3,1,1,0,0,0,1,0,0,0,0,0,0
mDCs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,111,0,0,0,0,4,0,0,0,0,0
pDCs,1,0,3,0,0,0,2967,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
