true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
B-cell Frac A-C (pro-B cells),18,5,22,4,0,49,4,108,0,4,13,2,5,2,2,0,1,3,4,6,12,0,0,2
Basophils,0,0,0,0,0,0,0,0,0,3,0,0,2,0,272,0,0,0,0,14,0,1,0,0
CD4 T cells,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,399,0,4,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,602,0,0,0,0,0,0
CLP,0,0,0,0,0,0,9,1,0,0,0,0,41,0,0,0,0,0,0,0,4,4,0,0
CMP,0,0,0,0,0,0,0,0,0,190,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,192,11235,0,1732,0,0,1,0,291,12,0,2,0,0,0,138,0,0,4,0,0,0,0,0
Eosinophils,122,15,0,2,4164,0,0,0,767,36,0,0,0,3,51,6,1,0,2,0,0,0,1,3
GMP,0,0,0,12,0,0,0,0,8,675,0,0,0,0,8,0,0,0,0,0,0,0,0,0
HSC,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,381,1,0,2005,0,1112,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,3
IgDpos IgMpos B cells,0,0,8730,0,0,24,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9
IgM- IgD- B-cells,0,3,40,0,0,520,6,444,0,0,4,1,1,0,0,0,0,0,5,98,0,1,0,0
Intermediate Monocytes,11725,47,0,12,2,0,5,0,215,4,0,0,0,4,0,5,0,0,0,0,0,0,26,0
MEP,0,0,0,0,0,0,0,6,0,79,0,334,1,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,36,0,0,161,0,0,0,0,0,0,0,0,0,0,0
Macrophages,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,185,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,0,0,4,6,0,12,0,3,0,0,0,2,160,0,2,0,0
NKT cells,0,0,0,0,0,0,0,0,0,1,879,1,1,0,1,0,67,10,0,1,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,1,1015,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0
gd T cells,1,0,0,0,0,0,0,0,0,0,26,0,0,1,0,1,6,0,0,0,0,0,0,0
mDCs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,111,0,0,4,0,0,0,0,0
pDCs,0,0,1,0,0,0,2969,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
