true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,40
Basophils,0,0,0,0,0,0,0,0,0,0,1015,0,0,173,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
CD16+_NK_cells,0,0,0,1,590,1495,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CD16-_NK_cells,0,0,0,3,2705,0,6,2,0,1107,0,0,0,0,0,0,0,0,4,2,8,1,0,0,35,0,21,11,0,0,0,0,0,0,0,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,0,0,0,0,0,9,8,112,170,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,0,6,0,0,17,1443,1530,0,0,273,8,6,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,0,0,0,0,835,60,0,0,0,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
CD4_T_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24298,140,1083,0,0,0,0,0,51,0,0,791,0,0,0,2,1,0
CD8_T_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,344,86,106,0,0,0,0,0,18708,832,0,31,0,0,0,0,0,0
Mature_B_cells,43,10251,6081,0,0,0,0,1,83,0,0,1,0,0,0,1,3,3,0,0,1,4,12,0,32,4,0,0,0,0,0,0,0,0,0,0
Monocytes,0,1,0,0,2,1,0,1,3,0,0,0,0,0,0,0,86,1435,0,0,0,1,14164,1103,5,331,0,0,48,0,2974,596,343,0,0,5
Plasma_B_cells,7,0,0,0,0,0,0,302,19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pre_B_cells,1125,126,9,0,0,0,0,128,4726,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pro_B_cells,6,0,0,0,0,0,0,1,36,0,0,25,25,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pDCs,0,0,0,0,0,0,0,0,0,0,3,0,0,1228,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
