true_population,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,36,40
Basophils,0,0,0,0,0,0,0,0,0,0,0,208,987,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD16+_NK_cells,0,0,217,1409,621,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD16-_NK_cells,0,0,1173,0,2652,0,0,0,1,2,0,0,0,0,0,0,1,31,20,0,0,0,0,8,12,1,0,0,0,0,4,0,0,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,0,0,5,0,0,2,173,7,115,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,0,1227,4,0,442,0,8,1582,0,5,7,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,12,0,0,819,0,0,66,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD4_T_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1074,0,132,0,0,0,0,24547,0,1,585
CD8_T_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18556,1,0,0,0,100,849,82,0,0,0,0,484,0,0,36
Mature_B_cells,85,32,0,0,0,6301,10023,2,1,0,0,1,0,0,10,4,4,47,0,0,0,0,5,1,0,0,0,0,0,4,0,0,0,0
Monocytes,3,0,0,1,1,0,0,0,1,0,0,0,0,0,4706,47,1,0,0,0,212,3091,10006,0,0,0,320,1687,105,313,0,605,0,0
Plasma_B_cells,21,2,0,0,0,0,0,0,306,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pre_B_cells,5052,697,0,0,0,5,225,16,138,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro_B_cells,33,2,0,0,0,0,0,462,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pDCs,0,0,0,0,0,0,0,0,0,0,0,1232,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
