true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),10,7,14,0,0,0,140,0,1,1,0,0,3,17,3,1,0,0,4,2,2,2,2,3,1,1,11,20,4,2,0,4,0,2,4,1,4,0,0,0
Basophils,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,272,2,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0
CD4 T cells,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,1,228,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
CD8 T cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,191,517,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CLP,0,0,0,1,0,0,1,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,31,0,0,3,0,0,3,0,0,0,9,0,0,0,0
CMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,2,15,153,10,0,0
Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,338,0,0,0,0,6,12049,922,0,0,21,155,102
Eosinophils,0,0,0,0,0,0,1,0,0,1,4155,1,3,1,0,0,0,9,1,0,0,3,49,0,0,0,0,531,0,0,0,0,1,16,11,0,30,26,4,330
GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,39,0,240,416,0,0
HSC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,239,80,2049,0,0,0,1127,0,0,0,0,0,1,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
IgDpos IgMpos B cells,228,8395,127,0,0,0,3,0,0,0,0,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgM- IgD- B-cells,0,30,0,4,0,0,971,0,4,0,0,0,0,2,99,0,0,0,5,0,0,0,0,0,2,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
Intermediate Monocytes,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11876,3,0,0,0,71,38,15,0,2,2,8,23
MEP,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,260,73,0,0,0,0,1,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,1,131,0,0,0,0,28,4,0,0
Macrophages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,172,0,0,0,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,4,0
NK cells,0,0,0,0,0,0,1,0,1,0,0,1,0,1,129,0,0,0,1,0,0,0,4,30,0,3,5,0,0,0,1,9,0,0,0,0,2,0,1,0
NKT cells,0,0,0,0,0,0,0,0,0,40,0,0,0,0,5,20,7,0,0,73,1,0,1,0,1,0,810,0,1,0,1,1,0,0,0,0,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Plasma Cells,9,0,0,0,0,106,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gd T cells,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,3,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0
mDCs,0,0,0,0,0,0,1,0,0,0,0,22,0,1,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pDCs,1,1,0,1165,1158,0,0,423,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,221,0,0,0,0,0,0,0,1,0,0,0
