true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),0,0,3,98,4,8,7,0,1,1,44,1,4,1,2,2,7,1,11,4,0,4,1,20,0,2,0,2,0,4,2,0,0,6,2,0,12,0,10,2
Basophils,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,13,272,0,1,0,0,0
CD4 T cells,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0
CD8 T cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,519,0,0,0,0,193,0,0,0,0,0,2,0,0,0
CLP,0,1,4,1,0,0,0,0,6,9,0,0,3,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMP,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,162,6,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,574,13,0,0,0,0,12401,0,1,0,261,147,0,0,0,187,0,8,0
Eosinophils,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,31,44,0,3,1,0,0,0,17,7,1,0,720,3,0,49,4155,110,2,24,2
GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,391,4,0,0,0,0,0,0,0,0,0,14,0,0,7,0,0,0,0,0
HSC,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,0,574,527,1193,108,0,0,0,888,0,0,0,0,0,194,0,0,0,0,2,1,19,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
IgDpos IgMpos B cells,0,0,0,0,4,94,8519,0,0,0,8,1,0,0,0,0,134,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
IgM- IgD- B-cells,0,4,0,577,0,0,25,0,4,0,395,0,0,0,0,1,0,0,3,0,0,0,1,6,0,0,0,3,0,5,0,0,0,99,0,0,0,0,0,0
Intermediate Monocytes,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,10,5,0,0,0,0,49,0,0,0,309,4,0,0,1,11045,39,573,0
MEP,0,0,0,13,0,0,0,0,0,0,0,0,0,0,263,70,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,0,0,0,136,37,0,0,0,0,0,18,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,168,0,0,3,0,1,1,0,0,12,0
NK cells,0,0,0,2,0,0,0,0,1,0,0,0,10,3,0,0,0,0,5,0,0,0,3,1,0,0,2,0,0,1,0,0,0,149,7,0,0,3,0,2
NKT cells,0,0,1,0,0,0,0,0,0,0,0,45,1,0,0,1,0,22,806,0,0,0,0,0,0,1,1,0,0,0,71,0,0,11,1,0,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015
Plasma Cells,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gd T cells,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,3,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
mDCs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0
pDCs,1091,1170,420,0,0,0,1,286,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
