true_population,1,2,5,6,7,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,38,39,40
Basophils,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,202,0,0,0,0,0,0,0,0,0,0,996
CD16+_NK_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,438,2,0,0,1672,0,0,0,0,134,0,0,0,0
CD16-_NK_cells,0,0,5,0,0,2,0,16,0,0,0,8,1,31,16,0,0,0,0,2641,5,0,0,0,0,0,0,0,1178,1,0,1,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,0,176,104,0,0,0,0,6,0,0,0,0,7
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,21,6,1494,0,2,0,531,0,0,0,0,1220,0,0,0,5,6
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,862,0,0,0,1,0,0,0,0,39,0,0,0,0,0
CD4_T_cells,0,0,24369,597,0,155,1,72,0,0,0,1127,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
CD8_T_cells,0,0,291,33,0,83,0,18599,0,0,0,115,0,0,951,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
Mature_B_cells,0,0,0,0,3,0,0,0,4,9,3,1,3,36,0,0,0,3,0,0,56,1,0,0,9698,6578,90,2,0,0,32,1,0
Monocytes,3503,37,0,0,11259,0,0,0,737,4613,323,0,0,0,0,320,182,60,0,1,58,0,0,1,1,0,2,0,1,0,0,1,0
Plasma_B_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,1,305,0
Pre_B_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,16,107,5198,19,0,0,656,132,0
Pro_B_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,15,0,0,0,50,439,0,0,2,1,0
pDCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1231,0,0,0,0,0,0,0,0,0,0,3
