true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,29,30
Basophils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,1038,1,0,0,0,0,0,0,0,0,0,0,0,0
CD16+_NK_cells,0,0,0,0,0,0,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
CD16-_NK_cells,3,0,6,15,0,17,3832,0,0,0,0,0,12,0,0,0,1,0,0,10,0,1,0,8,0,0,0,0,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,0,0,0,0,123,0,5,0,0,166,10,0,0,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,0,0,1,226,0,2661,0,0,0,30,372,0,0,0,0,0,0,5,0,0,0,0,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,0,0,3,0,912,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CD4_T_cells,13778,0,10394,27,0,46,3,0,0,0,0,0,1588,0,0,0,0,308,0,0,8,0,158,0,56,0,0,0,0
CD8_T_cells,119,0,63,10672,0,8147,0,0,0,0,0,0,112,0,0,0,0,1,0,828,12,0,107,0,46,0,0,0,1
Mature_B_cells,0,10,0,0,9074,0,0,7100,117,7,0,1,2,0,0,0,3,0,3,0,0,11,0,74,0,100,0,18,0
Monocytes,0,12908,0,0,1,0,3,0,3,1642,3891,1,0,2078,0,0,0,0,399,0,0,1,0,82,0,0,90,0,0
Plasma_B_cells,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,1,0,0,0,0,303,0,1,0,0,0,0,0
Pre_B_cells,0,0,0,0,178,0,0,85,5671,0,0,2,0,0,0,0,45,0,0,0,0,145,0,9,0,0,0,0,0
Pro_B_cells,0,0,0,0,0,0,0,0,12,3,0,12,0,0,0,0,485,0,0,0,0,0,0,1,0,0,0,0,0
pDCs,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1227,2,0,0,0,0,0,0,0,2,0,0,0,0,0
