true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
B-cell Frac A-C (pro-B cells),16,4,21,4,140,0,0,4,9,17,13,0,2,0,2,1,3,2,4,6,0,13,0,5
Basophils,0,0,0,0,0,0,0,0,4,0,0,0,0,0,272,0,0,1,0,14,0,0,1,0
CD4 T cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,400,0,0,4,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,602,0,0,0,0,0,0,0
CLP,0,0,0,0,1,0,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
CMP,0,0,0,0,0,0,7,0,180,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Classical Monocytes,241,9958,0,2737,0,0,249,1,0,0,0,1,0,174,0,0,0,0,4,0,242,0,0,0
Eosinophils,218,11,0,8,0,4164,677,0,28,0,0,0,3,5,51,1,0,0,3,0,1,0,0,3
GMP,0,0,0,12,0,0,426,0,257,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
HSC,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,394,1,904,0,0,0,0,2192,0,0,0,0,0,0,0,0,2,1,0,11,0,3
IgDpos IgMpos B cells,0,0,8732,0,1,0,0,0,0,23,1,0,0,0,0,1,0,0,0,0,0,0,0,10
IgM- IgD- B-cells,0,3,37,0,967,0,0,7,0,0,4,1,0,0,0,0,0,0,5,98,0,0,1,0
Intermediate Monocytes,11787,41,0,21,0,2,152,5,1,0,0,0,3,5,0,0,0,0,0,0,28,0,0,0
MEP,0,0,0,0,7,0,0,0,1,0,0,71,0,0,0,0,0,341,0,0,0,0,0,0
MPP,0,0,0,0,0,0,4,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,10,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,181,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,0,14,0,6,0,0,0,3,0,0,2,2,160,0,0,2,0
NKT cells,0,0,0,0,0,0,0,0,1,0,879,1,0,0,1,67,10,1,0,1,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,1,0,0,0,1015,0,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0
gd T cells,1,0,0,0,0,0,0,0,0,0,23,3,1,1,0,6,0,0,0,0,0,0,0,0
mDCs,0,0,0,0,1,0,0,0,0,0,0,0,0,109,0,0,0,0,6,0,0,0,0,0
pDCs,1,0,3,0,0,0,1,2967,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
