true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25
1,0,2,0,5,0,0,0,0,2,875,0,0,0,0,0,3,0,8,17,0,0,0,0,0,0
10,1,0,0,0,0,0,10,0,15,0,0,571,0,0,0,1,0,2,2,3,0,1,2,0,0
11,36,0,13413,11,5,420,0,0,0,6,0,0,15,0,30,1,0,1,0,0,0,0,0,2,24
12,21,0,0,9,7737,0,0,14,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,1
13,99,0,0,127,0,0,0,0,0,0,3445,0,0,0,0,0,0,0,0,0,0,0,6,0,7
14,5,0,0,1,0,0,0,0,0,7,0,0,0,0,0,175,0,0,6,0,0,0,0,0,0
15,46,0,0,32,0,0,0,0,0,2,3,0,0,0,0,61,0,2,6,0,0,0,0,0,0
16,1613,0,3,715,0,0,16,0,28,177,435,0,7,0,0,0,0,6,17,0,0,0,0,4,4
17,0,0,26,0,0,6913,0,0,0,0,0,0,1,0,0,0,1,43,0,0,3,0,0,0,0
18,1,0,0,0,874,0,0,8544,58,0,0,0,10,71,0,0,0,5,0,0,0,1,0,0,0
19,59,1,0,36,0,0,82,0,3460,9,9,45,13,0,0,4,0,142,4,0,0,0,0,0,0
2,0,6705,0,24,0,0,0,0,1,24,0,0,0,5,0,0,0,11,8,1,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,0,1,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,251,41,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,2,0,0,0,0,0,2,0,8,0,0,0,225,0,1,1,0,0,0,0,0,0
24,2,0,0,1,0,0,2,0,65,8,0,898,0,0,0,6,0,7,5,0,0,0,0,0,0
3,0,550,0,17,0,0,0,0,7,666,0,0,0,3,0,0,0,14,21,0,0,0,0,0,0
4,17,0,0,0,0,0,0,0,2,10,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0
5,11447,0,0,65,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,11,0,5
6,1,0,0,0,0,0,0,0,44,9,0,1,0,0,0,17,0,1,0,0,0,0,0,0,0
7,50,0,0,107,0,0,0,0,1,6,2,0,0,0,0,85,0,5,5,0,0,0,0,0,0
8,149,1,2,155,1,0,105,0,48,7,21,0,0,0,0,0,0,9,1,0,0,0,2,0,1
9,36,1,0,67,2,0,7631,0,9,3,2,19,0,0,0,0,0,8,2,3,0,7,6,0,0
