true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,38,39
Basophils,0,0,0,0,0,0,0,0,0,0,190,1003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
CD16+_NK_cells,0,0,242,1436,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CD16-_NK_cells,0,0,1340,0,2466,1,0,1,7,0,0,0,1,0,0,0,0,0,22,6,0,0,12,0,0,0,35,8,4,0,0,0,2,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,0,0,0,0,0,182,5,0,103,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,0,0,0,14,0,3,9,1473,1412,0,0,376,0,2,0,4,0,0,0,0,2,0,0,0,0,0,0,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,0,0,0,0,0,0,57,87,0,0,760,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0
CD4_T_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,43,0,0,0,0,0,0,0,1109,24454,0,1,0,142,551
CD8_T_cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18687,35,0,0,814,0,0,0,0,146,307,0,0,0,82,37
Mature_B_cells,78,51,0,0,0,0,16268,1,0,2,1,0,4,0,2,0,3,0,0,57,0,5,0,4,0,8,35,1,0,0,0,0,0,0
Monocytes,3,0,1,1,0,0,1,1,0,646,0,0,1,0,0,338,1832,0,0,56,89,57,0,12655,3607,1054,0,0,0,654,0,103,0,0
Plasma_B_cells,22,5,0,0,0,0,0,302,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pre_B_cells,4743,1132,0,0,0,0,107,128,0,1,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Pro_B_cells,33,6,0,0,0,0,0,0,0,0,0,0,0,13,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pDCs,0,0,0,0,0,0,0,0,0,1,1231,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
