true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
B-cell Frac A-C (pro-B cells),18,22,4,4,137,0,4,4,20,0,13,2,5,2,0,2,3,1,4,6,12,0,0,3
Basophils,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,271,0,0,1,14,0,0,1,0
CD4 T cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,400,4,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,616,0,0,0,0,0,0,0
CLP,0,0,0,0,1,0,10,0,0,0,0,0,40,0,0,0,0,0,0,0,4,0,4,0
CMP,0,0,0,0,0,0,0,193,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,206,0,4191,8749,0,0,1,15,0,255,0,1,0,0,175,0,0,0,4,0,0,10,0,0
Eosinophils,172,0,8,10,0,4166,0,58,0,692,0,0,0,3,6,51,0,1,2,0,0,1,0,3
GMP,0,0,11,0,0,0,0,682,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0
HSC,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,359,1,0,835,0,0,0,2304,0,0,0,0,0,0,0,0,0,1,1,4,0,0,3
IgDpos IgMpos B cells,0,8733,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9
IgM- IgD- B-cells,0,39,1,2,965,0,7,0,0,0,4,1,0,0,0,0,0,0,5,98,0,0,1,0
Intermediate Monocytes,11742,0,36,29,0,2,5,6,0,175,0,0,0,4,5,0,0,0,0,0,0,41,0,0
MEP,0,0,0,0,1,0,0,85,0,0,0,333,1,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,28,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0
Macrophages,10,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,185,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,3,0,0,6,0,13,0,0,3,0,0,2,160,0,0,2,0
NKT cells,0,0,0,0,0,0,0,1,0,0,895,1,1,0,0,1,11,50,0,1,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,1,1015,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0
gd T cells,1,0,0,0,0,0,0,0,0,0,31,0,0,1,1,0,0,1,0,0,0,0,0,0
mDCs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,110,0,0,0,5,0,0,0,0,0
pDCs,0,3,0,0,0,0,2968,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
