true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25
1,3,0,0,2,0,0,0,0,2,881,0,0,0,0,0,0,0,7,17,0,0,0,0,0,0
10,0,1,0,0,0,0,23,0,16,0,0,0,559,0,0,2,0,2,2,0,1,0,2,0,0
11,0,35,13359,15,0,449,0,0,0,2,0,24,0,0,53,1,0,0,0,0,0,0,0,2,24
12,0,1,0,11,7533,0,0,14,0,0,0,220,0,40,0,0,0,0,0,0,0,0,0,1,1
13,0,138,0,113,0,0,0,0,0,0,3420,0,0,0,0,0,0,0,0,0,0,0,6,0,7
14,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,177,0,0,5,0,0,0,0,0,0
15,0,41,0,35,0,0,0,0,0,2,3,0,0,0,0,63,0,2,6,0,0,0,0,0,0
16,0,1561,3,769,0,0,17,0,24,178,419,27,0,0,0,0,0,6,17,0,0,0,0,0,4
17,0,0,49,0,0,6890,0,0,0,0,0,2,0,0,0,0,1,42,0,3,0,0,0,0,0
18,0,1,0,0,842,0,0,8560,53,0,0,47,0,55,0,0,0,5,0,0,0,1,0,0,0
19,1,59,0,51,0,0,81,0,3455,7,9,7,44,0,0,4,0,142,4,0,0,0,0,0,0
2,6712,0,0,22,0,0,0,0,1,21,0,0,0,5,0,0,0,10,8,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,1,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,43,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,1,0,2,0,0,0,0,0,2,0,0,7,0,0,227,0,1,0,0,0,0,0,0,0
24,0,2,0,1,0,0,2,0,70,8,0,0,895,0,0,4,0,7,5,0,0,0,0,0,0
3,589,0,0,17,0,0,0,0,7,625,0,0,0,3,0,0,0,16,21,0,0,0,0,0,0
4,0,15,0,1,0,0,0,0,2,12,0,0,1,0,0,222,0,0,0,0,0,0,0,0,0
5,0,11627,0,67,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,13,0,5
6,0,1,0,0,0,0,0,0,45,9,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0
7,0,50,0,104,0,0,0,0,1,4,2,0,0,0,0,90,0,5,5,0,0,0,0,0,0
8,0,152,2,161,0,0,105,0,50,8,11,0,0,0,0,0,0,9,1,0,0,0,2,0,1
9,0,34,0,70,1,0,7650,0,10,2,2,0,9,0,0,0,0,8,2,0,1,1,6,0,0
