dataset,regime,metric,n,mean,sd,median,min,max,q25,q75
Mosmann_rare,official_auto_max40,selected_k,30,10.166666666666666,1.1472105098991154,10.0,8.0,13.0,9.0,11.0
Mosmann_rare,official_auto_max40,ari,30,0.0003060069327835782,7.499900325346152e-05,0.00029982753958348967,0.00018062431484167982,0.0005389682073532105,0.0002669812384612722,0.00033160887300697465
Mosmann_rare,official_auto_max40,target_precision,30,0.03677826748322589,0.02214171429159541,0.029313577187966167,0.005005847953216375,0.0811930405965203,0.019089794396608524,0.05739228807438837
Mosmann_rare,official_auto_max40,target_recall,30,0.9415902140672782,0.05779707713198066,0.9770642201834863,0.7798165137614679,1.0,0.9013761467889909,0.981651376146789
Mosmann_rare,official_auto_max40,target_f1,30,0.06976953906662277,0.0407907376104061,0.056922051548062076,0.009960901135728915,0.14893617021276598,0.03744960180030509,0.10783011193873154
Mosmann_rare,official_auto_max40,target_f2,30,0.15164991727181013,0.08200295482773409,0.13088868643860363,0.02452890743202971,0.2982349360925137,0.08854165457014176,0.22811339629963223
Mosmann_rare,official_auto_max40_selector_seed_sensitivity,selected_k,30,10.166666666666666,1.366680683976335,10.0,8.0,12.0,9.0,11.75
Mosmann_rare,official_auto_max40_selector_seed_sensitivity,ari,30,0.00047015370828883097,0.00012656758077522697,0.000536931397303477,0.0002585347955938095,0.0005806423290158161,0.0003328671518329159,0.0005480961376289244
Mosmann_rare,official_auto_max40_selector_seed_sensitivity,target_precision,30,0.014942435281679909,0.009221625702511465,0.007013897908819327,0.007013897908819327,0.02531052261542067,0.007013897908819327,0.02531052261542067
Mosmann_rare,official_auto_max40_selector_seed_sensitivity,target_recall,30,0.9908256880733942,3.387607712450221e-16,0.9908256880733946,0.9908256880733946,0.9908256880733946,0.9908256880733946,0.9908256880733946
Mosmann_rare,official_auto_max40_selector_seed_sensitivity,target_f1,30,0.029282606227605652,0.01785744594687814,0.013929193267556586,0.013929193267556586,0.04936014625228519,0.013929193267556586,0.04936014625228519
Mosmann_rare,official_auto_max40_selector_seed_sensitivity,target_f2,30,0.0690809773127003,0.04068167572960732,0.034103827207275485,0.034103827207275485,0.11482032745056349,0.034103827207275485,0.11482032745056349
Mosmann_rare,official_fixed_k10,selected_k,30,10.0,0.0,10.0,10.0,10.0,10.0,10.0
Mosmann_rare,official_fixed_k10,ari,30,0.0003134027792091552,7.064049327355472e-05,0.00029822364464117347,0.00021615153502219786,0.0005746589873252546,0.000280491894427732,0.00032498906097449886
Mosmann_rare,official_fixed_k10,target_precision,30,0.03845828850885034,0.021736531264661223,0.03744050729447653,0.005005847953216375,0.0811930405965203,0.01972182230656807,0.05776320109323965
Mosmann_rare,official_fixed_k10,target_recall,30,0.9415902140672782,0.05779707713198066,0.9770642201834863,0.7798165137614679,1.0,0.9013761467889909,0.981651376146789
Mosmann_rare,official_fixed_k10,target_f1,30,0.07289929060073493,0.039997164300039946,0.07207057702499425,0.009960901135728915,0.14893617021276598,0.038659521990759116,0.1085354152803355
Mosmann_rare,official_fixed_k10,target_f2,30,0.15810800966709423,0.08013620091084254,0.1619981110369413,0.02452890743202971,0.2982349360925137,0.09121539615864027,0.22964780331826426
Mosmann_rare,official_fixed_k40,selected_k,30,40.0,0.0,40.0,40.0,40.0,40.0,40.0
Mosmann_rare,official_fixed_k40,ari,30,0.0001090969851370365,1.8778580020019765e-05,0.00010316170299787489,7.715623689508779e-05,0.00014598500915051485,9.502748923535342e-05,0.00012734573200799066
Mosmann_rare,official_fixed_k40,target_precision,30,0.06853057491252239,0.03362054966326434,0.059332458341089855,0.037346711259754736,0.212890625,0.05395852193235125,0.06335403726708075
Mosmann_rare,official_fixed_k40,target_recall,30,0.8743119266055046,0.08979746416226955,0.8944954128440368,0.6146788990825688,1.0,0.8256880733944953,0.9357798165137615
Mosmann_rare,official_fixed_k40,target_f1,30,0.1257991807850473,0.05429640708495187,0.11076330766655507,0.07041513399894903,0.35104669887278583,0.10149660729624463,0.11866371373271138
Mosmann_rare,official_fixed_k40,target_f2,30,0.254722661694192,0.08375795904545327,0.23223535936375328,0.1502242152466368,0.5748945147679325,0.215313753342246,0.248949144623558
Mosmann_rare,official_fixed_ktrue_2,selected_k,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0
Mosmann_rare,official_fixed_ktrue_2,ari,30,-0.000245651857887364,0.0005134054549197371,-0.0004978345648009419,-0.0005026315732613475,0.000809828953381167,-0.0004989138327937443,-0.0004939556830103201
Mosmann_rare,official_fixed_ktrue_2,target_precision,30,0.0003578785311730001,0.0001674387903638827,0.00027569112476920354,0.0002756144432082533,0.0007127583749109052,0.0002756712532118171,0.00027572512234568913
Mosmann_rare,official_fixed_ktrue_2,target_recall,30,0.8018348623853212,0.4031056425195276,1.0,0.009174311926605505,1.0,1.0,1.0
Mosmann_rare,official_fixed_ktrue_2,target_f1,30,0.0006964957676384227,0.00029593581116432423,0.0005512302802424401,0.0005510770016355359,0.001322751322751323,0.0005511905590314491,0.0005512982379172488
Mosmann_rare,official_fixed_ktrue_2,target_f2,30,0.0016298894952803465,0.0005153282628694377,0.0013769371863993976,0.0013765546226977442,0.0027188689505165853,0.0013768380473789409,0.001377106799964525
Nilsson_rare,official_auto_max40,selected_k,30,8.633333333333333,0.9643054793328015,9.0,7.0,10.0,8.0,9.0
Nilsson_rare,official_auto_max40,ari,30,0.00551472721344949,0.0011939839215954554,0.0051176881356896995,0.004470853375105351,0.010453205409834635,0.004835880331070968,0.00586742900319366
Nilsson_rare,official_auto_max40,target_precision,30,0.05739221836894086,0.041611827087956764,0.032067913893045356,0.02725214297266699,0.1510791366906475,0.028345515842925585,0.09936859857677593
Nilsson_rare,official_auto_max40,target_recall,30,0.6720670391061454,0.4192778852293514,0.9343575418994414,0.04189944134078212,0.9748603351955307,0.05865921787709497,0.9720670391061452
Nilsson_rare,official_auto_max40,target_f1,30,0.06326129787921049,0.014124087560888747,0.060246590696805526,0.05297076391071989,0.1256788207913111,0.05507844475732793,0.06366820276497696
Nilsson_rare,official_auto_max40,target_f2,30,0.11321467660614548,0.04531382310491005,0.12572713294313992,0.04737839545167404,0.2459016393442623,0.06667737659417036,0.13993290238063869
Nilsson_rare,official_auto_max40_selector_seed_sensitivity,selected_k,30,8.266666666666667,0.44977644510880366,8.0,8.0,9.0,8.0,8.75
Nilsson_rare,official_auto_max40_selector_seed_sensitivity,ari,30,0.0049323865346444585,0.0001635842781459972,0.0049611451723392055,0.004739928659252703,0.005413686862842487,0.004795232787524329,0.0049614139833327265
Nilsson_rare,official_auto_max40_selector_seed_sensitivity,target_precision,30,0.027291622515490045,0.0001502442157515676,0.02725214297266699,0.02725214297266699,0.027844336115012806,0.02725214297266699,0.02725214297266699
Nilsson_rare,official_auto_max40_selector_seed_sensitivity,target_recall,30,0.9413407821229048,2.2584051416334807e-16,0.9413407821229051,0.9413407821229051,0.9413407821229051,0.9413407821229051,0.9413407821229051
Nilsson_rare,official_auto_max40_selector_seed_sensitivity,target_f1,30,0.05304529677811161,0.00028364391804562843,0.05297076391071989,0.05297076391071989,0.05408875692159537,0.05297076391071989,0.05297076391071989
Nilsson_rare,official_auto_max40_selector_seed_sensitivity,target_f2,30,0.12227734169761921,0.0006020265439742948,0.12211914770256557,0.12211914770256557,0.12449205762837089,0.12211914770256557,0.12211914770256557
Nilsson_rare,official_fixed_k10,selected_k,30,10.0,0.0,10.0,10.0,10.0,10.0,10.0
Nilsson_rare,official_fixed_k10,ari,30,0.005686550222248513,0.001163564623068581,0.00559937419142573,0.004273407038910119,0.010453205409834635,0.004877448453643083,0.0059688841291582325
Nilsson_rare,official_fixed_k10,target_precision,30,0.057946869296379135,0.04388364042606125,0.03353353772073602,0.02725214297266699,0.15841584158415842,0.030448363814266945,0.09181593593767398
Nilsson_rare,official_fixed_k10,target_recall,30,0.6971135940409685,0.401729763076409,0.9273743016759777,0.04189944134078212,0.9748603351955307,0.21368715083798884,0.9622905027932961
Nilsson_rare,official_fixed_k10,target_f1,30,0.06533188913558587,0.013613722771864512,0.06257786650089844,0.05297076391071989,0.1256788207913111,0.05833018042722166,0.06653165776012557
Nilsson_rare,official_fixed_k10,target_f2,30,0.11991913089964724,0.045321604941931284,0.13205288000200016,0.04737839545167404,0.2459016393442623,0.08065709437312707,0.1457849645717968
Nilsson_rare,official_fixed_k40,selected_k,30,40.0,0.0,40.0,40.0,40.0,40.0,40.0
Nilsson_rare,official_fixed_k40,ari,30,0.007320870950258044,0.0022579180307745446,0.008229294752771503,0.0028677943894441374,0.01060676466161656,0.005324294967310125,0.008894149394819958
Nilsson_rare,official_fixed_k40,target_precision,30,0.25624443767751054,0.1615513662499524,0.16125113679188866,0.10270993643358983,0.5161290322580645,0.1151541969476881,0.4368699596774194
Nilsson_rare,official_fixed_k40,target_recall,30,0.7999068901303538,0.19936451686384782,0.9008379888268156,0.1340782122905028,0.9581005586592178,0.7164804469273743,0.9266759776536313
Nilsson_rare,official_fixed_k40,target_f1,30,0.33258629214530916,0.1458433121662747,0.24063879088218393,0.1834478637585898,0.5640449438202247,0.20463744947938514,0.48017709608323134
Nilsson_rare,official_fixed_k40,target_f2,30,0.4687058681491059,0.12227604454046269,0.4365067454846504,0.15737704918032788,0.6740355439965323,0.3801017414756482,0.5700466430984791
Nilsson_rare,official_fixed_ktrue_2,selected_k,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0
Nilsson_rare,official_fixed_ktrue_2,ari,30,0.03374991149744879,0.014722157460897577,0.030542715641067572,-0.0030611419697801254,0.06636612357804894,0.02814015237857815,0.04570222556601625
Nilsson_rare,official_fixed_ktrue_2,target_precision,30,0.05483123494899076,0.01850337560931748,0.051948402417962,0.008124361738341086,0.0963302752293578,0.049000053544656245,0.06896660564358312
Nilsson_rare,official_fixed_ktrue_2,target_recall,30,0.09795158286778397,0.24538054335509357,0.029329608938547483,0.019553072625698324,1.0,0.027932960893854747,0.04189944134078212
Nilsson_rare,official_fixed_ktrue_2,target_f1,30,0.040737321447596654,0.012930085797327176,0.03639675442954131,0.01611777682731918,0.07291666666666667,0.03389575370438243,0.05212870168035566
Nilsson_rare,official_fixed_ktrue_2,target_f2,30,0.036791728115922774,0.009969838219553937,0.03213039551156402,0.021511985248924396,0.06363636363636363,0.030613912494646435,0.04546833626017861
