dataset,k,seed,runtime_seconds,converged,n_iter,lower_bound,all_checks_passed,algorithm,label_information_used_for_regime_definition,labels_used_for_sampling_or_fit,training_size,n_total_events,n_components_occupied,target,target_events,target_prevalence,ari,selected_target_component,selected_component_size,target_tp,target_fp,target_fn,target_precision,target_recall,target_f1,target_f2,target_overlapping_components,target_effective_components,target_dominant_component_capture
Nilsson_rare,2,17,0.072723200006294,True,5,-4.925702587687273,True,sklearn_GaussianMixture_1.6.1,True,False,20000,44140,2,HSCs,358,0.0081105573176257,0.0077508173952525,0,17927,358,17569,0,0.0199698778378981,1.0,0.0391577796007656,0.0924634536907898,1,1.0,1.0
Nilsson_rare,2,18,0.0686206999962451,True,5,-4.925701513482095,True,sklearn_GaussianMixture_1.6.1,True,False,20000,44140,2,HSCs,358,0.0081105573176257,0.0077485967738215,1,17928,358,17570,0,0.0199687639446675,1.0,0.0391556381931532,0.0924586776859504,1,1.0,1.0
Nilsson_rare,2,19,0.0682264999995823,True,5,-4.925701513482095,True,sklearn_GaussianMixture_1.6.1,True,False,20000,44140,2,HSCs,358,0.0081105573176257,0.0077485967738215,0,17928,358,17570,0,0.0199687639446675,1.0,0.0391556381931532,0.0924586776859504,1,1.0,1.0
Nilsson_rare,2,20,0.066195899999002,True,5,-4.925702587687273,True,sklearn_GaussianMixture_1.6.1,True,False,20000,44140,2,HSCs,358,0.0081105573176257,0.0077508173952525,1,17927,358,17569,0,0.0199698778378981,1.0,0.0391577796007656,0.0924634536907898,1,1.0,1.0
Nilsson_rare,2,21,0.0707578000001376,True,5,-4.925702587687273,True,sklearn_GaussianMixture_1.6.1,True,False,20000,44140,2,HSCs,358,0.0081105573176257,0.0077508173952525,1,17927,358,17569,0,0.0199698778378981,1.0,0.0391577796007656,0.0924634536907898,1,1.0,1.0
Nilsson_rare,2,22,0.0699638000005506,True,5,-4.925702587687273,True,sklearn_GaussianMixture_1.6.1,True,False,20000,44140,2,HSCs,358,0.0081105573176257,0.0077508173952525,0,17927,358,17569,0,0.0199698778378981,1.0,0.0391577796007656,0.0924634536907898,1,1.0,1.0
Nilsson_rare,2,23,0.0652498999988893,True,5,-4.925702587687273,True,sklearn_GaussianMixture_1.6.1,True,False,20000,44140,2,HSCs,358,0.0081105573176257,0.0077508173952525,1,17927,358,17569,0,0.0199698778378981,1.0,0.0391577796007656,0.0924634536907898,1,1.0,1.0
Nilsson_rare,2,24,0.0680083999977796,True,5,-4.925702587687273,True,sklearn_GaussianMixture_1.6.1,True,False,20000,44140,2,HSCs,358,0.0081105573176257,0.0077508173952525,1,17927,358,17569,0,0.0199698778378981,1.0,0.0391577796007656,0.0924634536907898,1,1.0,1.0
Nilsson_rare,2,25,0.0650749999986146,True,5,-4.925702587687273,True,sklearn_GaussianMixture_1.6.1,True,False,20000,44140,2,HSCs,358,0.0081105573176257,0.0077508173952525,1,17927,358,17569,0,0.0199698778378981,1.0,0.0391577796007656,0.0924634536907898,1,1.0,1.0
Nilsson_rare,2,26,0.0701671999995596,True,5,-4.925702587687273,True,sklearn_GaussianMixture_1.6.1,True,False,20000,44140,2,HSCs,358,0.0081105573176257,0.0077508173952525,0,17927,358,17569,0,0.0199698778378981,1.0,0.0391577796007656,0.0924634536907898,1,1.0,1.0
Nilsson_rare,2,27,0.0674876000048243,True,5,-4.925701513482095,True,sklearn_GaussianMixture_1.6.1,True,False,20000,44140,2,HSCs,358,0.0081105573176257,0.0077485967738215,1,17928,358,17570,0,0.0199687639446675,1.0,0.0391556381931532,0.0924586776859504,1,1.0,1.0
Nilsson_rare,2,28,0.0683070000013685,True,5,-4.925702587687273,True,sklearn_GaussianMixture_1.6.1,True,False,20000,44140,2,HSCs,358,0.0081105573176257,0.0077508173952525,1,17927,358,17569,0,0.0199698778378981,1.0,0.0391577796007656,0.0924634536907898,1,1.0,1.0
