algorithm,source_run,dataset,endpoint,n_runs,bic_one_minus_two,empirical_p_raw,component_1_mean,component_2_mean,component_1_weight,component_2_weight,standardized_mean_separation,empirical_p_holm,reject_unimodal_gaussian_family_0_05,reject_single_gaussian_0_05,empirical_p_holm_global_40,reject_single_gaussian_global_0_05
Leiden_fixed_PhenoGraph_graph,EXP-024C_phenograph_leiden_stability30_distribution_analysis_20260910,Samusik_01,quality_q,30,1.9431394960261628,0.057988402319536,0.8306480580638519,0.8374874038252844,0.0333077553440639,0.9666922446559362,4.512923091629503,0.3479304139172166,,False,1.0,False
PhenoGraph_default_Louvain,EXP-025C_phenograph_louvain_stability30_distribution_analysis_20260910,Levine_32dim,ari,30,-6.217322658198839,0.3405318936212757,0.6416106125397565,0.6622093199627836,0.4224481429885672,0.5775518570114327,2.9571707836309558,1.0,,False,1.0,False
PhenoGraph_default_Louvain,EXP-025C_phenograph_louvain_stability30_distribution_analysis_20260910,Levine_32dim,macro_f1,30,-6.043190244086645,0.3237352529494101,0.5937556080381127,0.6030339187640462,0.6322971213271612,0.3677028786728388,2.47240474181542,1.0,,False,1.0,False
PhenoGraph_default_Louvain,EXP-025C_phenograph_louvain_stability30_distribution_analysis_20260910,Levine_32dim,hungarian_accuracy,30,-0.2765421690839673,0.0841831633673265,0.665058836810907,0.6874564772979893,0.6765107167948566,0.3234892832051435,2.483809966543076,0.5892821435712857,,False,1.0,False
PhenoGraph_default_Louvain,EXP-025C_phenograph_louvain_stability30_distribution_analysis_20260910,Levine_32dim,quality_q,30,-10.203579779783752,0.9594081183763248,0.8784594586093972,0.8784703421894523,0.763430422454079,0.236569577545921,0.0096743222793229,1.0,,False,1.0,False
PhenoGraph_default_Louvain,EXP-025C_phenograph_louvain_stability30_distribution_analysis_20260910,Samusik_01,ari,30,1.5731449496832113,0.0601879624075184,0.8290700822341263,0.88560524665663,0.6047381545129588,0.3952618454870413,2.466433918781064,0.4815036992601479,,False,1.0,False
PhenoGraph_default_Louvain,EXP-025C_phenograph_louvain_stability30_distribution_analysis_20260910,Samusik_01,macro_f1,30,-6.340285120219761,0.3539292141571685,0.6191280750101642,0.657754837641005,0.1278174247104687,0.8721825752895314,2.708074242400847,1.0,,False,1.0,False
PhenoGraph_default_Louvain,EXP-025C_phenograph_louvain_stability30_distribution_analysis_20260910,Samusik_01,hungarian_accuracy,30,-1.8433091103603232,0.1167766446710657,0.826358552342418,0.8790954744829037,0.502657955321227,0.497342044678773,2.913381571997155,0.7006598680263947,,False,1.0,False
PhenoGraph_default_Louvain,EXP-025C_phenograph_louvain_stability30_distribution_analysis_20260910,Samusik_01,quality_q,30,-10.20358548725909,0.9594081183763248,0.8913377076347199,0.891352402001577,0.578589173648185,0.421410826351815,0.0128448745953606,1.0,,False,1.0,False
KMeans,EXP-026_kmeans_uniform_stability_distribution_analysis_20260910,Levine_32dim,ari,30,-7.870423639478346,0.5370925814837033,0.6357825791757498,0.7136533594592291,0.7513982647250665,0.2486017352749334,1.2994162626114911,1.0,,False,1.0,False
KMeans,EXP-026_kmeans_uniform_stability_distribution_analysis_20260910,Levine_32dim,macro_f1,30,-0.2450715225150901,0.0839832033593281,0.3744788417669796,0.4675593192804247,0.0654144183199222,0.9345855816800778,2.54240953215846,0.5878824235152968,,False,1.0,False
KMeans,EXP-026_kmeans_uniform_stability_distribution_analysis_20260910,Levine_32dim,hungarian_accuracy,30,-10.044262460084312,0.9272145570885822,0.6171288918731149,0.7138360563253193,0.726555754741225,0.273444245258775,1.8690070254935875,1.0,,False,1.0,False
KMeans,EXP-026_kmeans_uniform_stability_distribution_analysis_20260910,Levine_32dim,inertia_per_fit_cell,30,9.670028115560608,0.0065986802639472,8.359010660775613,8.607223795874129,0.5320251842008974,0.4679748157991026,5.109683957839506,0.0527894421115776,,False,0.2507498500299936,False
KMeans,EXP-026_kmeans_uniform_stability_distribution_analysis_20260910,Samusik_01,ari,30,-8.865304803216517,0.6942611477704459,0.5371741680016123,0.603373374137298,0.538935752650774,0.461064247349226,2.2004645505268297,1.0,,False,1.0,False
KMeans,EXP-026_kmeans_uniform_stability_distribution_analysis_20260910,Samusik_01,macro_f1,30,-2.511504923774581,0.1345730853829234,0.4822522612128232,0.5575224852322913,0.2812493831080785,0.7187506168919214,3.606965247137047,0.8074385122975405,,False,1.0,False
KMeans,EXP-026_kmeans_uniform_stability_distribution_analysis_20260910,Samusik_01,hungarian_accuracy,30,-7.362653846958935,0.4707058588282343,0.5479033444637469,0.6233986879390647,0.313215441593885,0.686784558406115,2.856303810190146,1.0,,False,1.0,False
KMeans,EXP-026_kmeans_uniform_stability_distribution_analysis_20260910,Samusik_01,inertia_per_fit_cell,30,-4.665366904776178,0.2311537692461507,9.034500618348495,9.15553865879718,0.7749431295323188,0.2250568704676813,3.1365487082099186,1.0,,False,1.0,False
