n,equal_component_weights,within_component_sd,mean_separation_sd_units,independent_null_critical_value_95pct,simulations,independent_rejections,independent_power,original_power,absolute_power_difference,preregistered_monte_carlo_tolerance,compatible_with_original,independent_median_bic_difference
30,True,1.0,1.0,2.8276876610408754,5000,227,0.0454,0.041,0.004400000000000001,0.01646456467293238,True,-7.515786392427501
30,True,1.0,2.0,2.8276876610408754,5000,154,0.0308,0.0366,0.0058,0.014636467157861027,True,-6.811687232550781
30,True,1.0,3.0,2.8276876610408754,5000,667,0.1334,0.1314,0.0020000000000000018,0.02731400995795347,True,-3.367517035062164
30,True,1.0,4.0,2.8276876610408754,5000,2660,0.532,0.5464,0.014399999999999968,0.04007687931621531,True,3.3491757848432258
